DOEID,ALTHUQ,WALLTYPE,YEARMADE,URBRUR,UGASHERE,TOTSQFT,TOTBASESQFT,TOTATTCSQFT,TOTGARGSQFT,TOTRHMSQFT,TOTHSQFT,TOTUSQFT,BASHSQFT,BASUSQFT,GARHSQFT,GARUSQFT,ATTHSQFT,ATTUSQFT,RHMHSQFT,RHMUSQFT,TOTCSQFT,TOTUCSQFT,BASCSQFT,BASUCSQFT,GARCSQFT,GARUCSQFT,ATTCSQFT,ATTUCSQFT,RHMCSQFT,RHMUCSQFT
2406,9,1,5,4,0,2184,0,1092,0,1092,1092,1092,0,0,0,0,0,1092,1092,0,2184,1092,0,0,0,0,0,1092,1092,0
2407,9,3,5,2,0,780,0,0,0,780,780,0,0,0,0,0,0,0,780,0,780,0,0,0,0,0,0,0,780,0
2408,9,3,1,1,1,2792,676,676,0,1440,1440,1352,0,676,0,0,0,676,1440,0,931,2792,0,676,0,0,0,676,0,1440
2409,9,3,6,2,1,775,0,0,0,775,775,0,0,0,0,0,0,0,775,0,775,0,0,0,0,0,0,0,775,0
2410,9,3,9,3,1,4296,600,0,400,3296,3896,400,600,0,0,400,0,0,3296,0,0,4296,0,600,0,400,0,0,0,3296
2411,9,1,5,2,1,3584,1792,0,250,1542,1101,2483,0,1792,0,250,0,0,1101,441,3334,2042,0,1792,0,250,0,0,1542,0
2412,9,1,6,3,1,866,0,0,0,866,866,0,0,0,0,0,0,0,866,0,217,866,0,0,0,0,0,0,0,866
2413,3,1,8,3,1,1732,0,144,650,938,235,1498,0,0,0,650,0,144,235,704,271,1732,0,0,0,650,0,144,0,938
2414,9,3,7,1,1,3024,1512,0,250,1262,2774,250,1512,0,0,250,0,0,1262,0,2774,250,1512,0,0,250,0,0,1262,0
2415,9,1,1,4,0,7214,2857,750,0,3607,3607,3607,0,2857,0,0,0,750,3607,0,1031,7214,0,2857,0,0,0,750,0,3607
2416,9,1,5,1,1,502,0,0,0,502,502,0,0,0,0,0,0,0,502,0,502,0,0,0,0,0,0,0,502,0
2417,9,3,2,2,1,1806,903,0,0,903,1806,0,903,0,0,0,0,0,903,0,361,1806,0,903,0,0,0,0,0,903
2418,9,1,8,1,1,9800,0,0,400,9400,9400,400,0,0,0,400,0,0,9400,0,9400,400,0,0,0,400,0,0,9400,0
2419,9,4,6,1,1,682,0,0,0,682,682,0,0,0,0,0,0,0,682,0,682,0,0,0,0,0,0,0,682,0
2420,9,2,1,4,0,1680,0,0,0,1680,1680,0,0,0,0,0,0,0,1680,0,0,1680,0,0,0,0,0,0,0,1680
2421,9,3,10,4,0,5246,986,0,650,3610,3610,1636,0,986,0,650,0,0,3610,0,1882,3768,0,986,0,650,0,0,1478,2132
2422,9,3,3,2,0,2475,825,0,0,1650,1650,825,0,825,0,0,0,0,1650,0,0,2475,0,825,0,0,0,0,0,1650
2423,9,2,7,4,0,1650,550,0,0,1100,1650,0,550,0,0,0,0,0,1100,0,275,1650,0,550,0,0,0,0,0,1100
2424,9,5,6,1,1,2618,0,391,400,1827,1827,791,0,0,0,400,0,391,1827,0,2218,791,0,0,0,400,0,391,1827,0
