DOEID,LRGSTATE,TYPEHUQ,HD65,CD65,KWH,WALLTYPE,YEARMADE,URBRUR,UGASHERE,TOTSQFT,TOTBASESQFT,TOTATTCSQFT,TOTGARGSQFT,TOTRHMSQFT,TOTHSQFT,TOTUSQFT,BASHSQFT,BASUSQFT,GARHSQFT,GARUSQFT,ATTHSQFT,ATTUSQFT,RHMHSQFT,RHMUSQFT,TOTCSQFT,TOTUCSQFT,BASCSQFT,BASUCSQFT,GARCSQFT,GARUCSQFT,ATTCSQFT,ATTUCSQFT,RHMCSQFT,RHMUCSQFT,HBUSNESS,OTHWORK,ATHOME,HHSEX,HHAGE,EMPLOYHH,SPOUSE,SDESCENT,NHSLDMEM,WORKPAY,RETIREPY,CASHBEN,NCASHBEN,MONEYPY,AVGAGEHH,BTUELCDR,BTUELDWH,BTUELFZZ,BTUELRFG,BTUELCOL,BTUELWTH,BTUELSPH,BTUELAPL,BTUNGAPL,BTUNGWTH,BTUNGSPH,CUFEETNG,AGEHHMEM1,AGEHHMEMY
1,3,2,1231,3281,13459,1,3,1,1,1989,0,0,250,1739,1739,250,0,0,0,250,0,0,1739,0,1739,250,0,0,0,250,0,0,1739,0,0,0,1,1,55,2,0,0,2,1,1,0,0,8,55,0,376,3265,4222,29630,0,0,12070,9481,18266,9812,365,55,55
2,2,2,1663,1123,13051,3,6,3,1,1320,0,660,0,660,660,660,0,0,0,0,0,660,660,0,1320,660,0,0,0,0,0,660,660,0,0,0,1,1,26,1,1,0,4,1,0,1,1,13,17.5,4261,712,0,4092,10040,0,1356,29041,3780,13082,6458,227,26,1
3,0,2,5221,1286,19464,1,4,1,1,3075,789,0,400,1886,1886,1189,0,789,0,400,0,0,1886,0,2675,1189,0,789,0,400,0,0,1886,0,0,0,1,1,63,1,1,0,2,1,1,0,0,10,62.5,3414,999,0,19846,16657,0,0,29908,0,20784,49394,682,63,62
4,0,3,5261,667,28635,3,1,2,0,899,0,0,0,899,899,0,0,0,0,0,0,0,899,0,0,899,0,0,0,0,0,0,0,899,0,0,0,2,43,2,1,1,8,1,0,0,1,6,18.5,9833,0,7807,5272,0,31876,13724,46831,4428,4332,3707,283,43,3
5,0,2,4392,1238,28658,1,8,3,1,2176,0,444,400,1332,1332,844,0,0,0,400,0,444,1332,0,1776,844,0,0,0,400,0,444,1332,0,0,0,0,1,39,2,1,0,5,1,0,0,0,23,35,5121,855,0,12335,15836,23262,0,46348,0,0,70589,686,39,3
6,0,2,5162,1236,13212,2,5,1,1,1069,0,0,0,1069,1069,0,0,0,0,0,0,0,1069,0,891,1069,0,0,0,0,0,0,0,1069,0,0,1,1,40,2,0,1,8,1,0,0,0,12,16.875,4030,673,0,2914,4753,0,0,37412,0,45711,92154,1340,40,1
7,4,2,392,3759,7194,2,6,3,0,3360,0,0,400,2960,0,3360,0,0,0,400,0,0,0,2960,0,3360,0,0,0,400,0,0,0,2960,0,0,1,1,60,0,1,0,2,1,1,0,0,24,59.5,3198,0,0,6262,0,6971,0,11314,803,1507,7247,158,60,59
8,0,2,3275,2086,19878,1,5,4,1,748,0,0,0,748,748,0,0,0,0,0,0,0,748,0,299,748,0,0,0,0,0,0,0,748,0,0,0,1,37,0,0,0,4,1,0,0,0,17,29.75,2576,0,0,4125,7840,19694,2029,34136,9230,5508,2260,27,37,8
9,4,2,540,3278,20718,7,9,3,1,5040,0,0,400,4640,4640,400,0,0,0,400,0,0,4640,0,4640,400,0,0,0,400,0,0,4640,0,0,0,0,2,50,2,1,0,4,1,0,0,0,23,27.5,0,548,3754,3003,31999,0,2692,32996,6707,24704,0,305,50,8
10,0,3,4409,1718,7688,4,7,3,0,2549,0,0,0,2549,2549,0,0,0,0,0,0,0,2549,0,2549,0,0,0,0,0,0,0,2549,0,0,0,0,2,39,2,0,0,1,1,0,0,0,23,39,2054,343,0,2112,5495,4483,6841,7301,5417,4608,8620,17,39,43
11,0,5,3277,1511,11415,2,6,1,1,1725,0,0,0,1725,1725,0,0,0,0,0,0,0,1725,0,1725,0,0,0,0,0,0,0,1725,0,0,0,0,1,25,2,1,1,3,1,0,0,0,7,18.6666666666667,2947,492,0,2391,6380,11139,7379,11659,191,5578,885,146,25,1
12,0,2,5267,1145,12686,3,6,2,1,4500,0,1350,0,3150,3150,1350,0,0,0,0,0,1350,3150,0,4500,1350,0,0,0,0,0,1350,3150,0,0,0,1,1,36,1,1,0,5,1,1,0,0,17,29.4,2977,497,0,5395,11114,0,0,26776,17895,67997,102106,1827,36,5
13,4,5,1306,2130,6438,1,8,1,1,832,0,0,0,832,832,0,0,0,0,0,0,0,832,0,832,0,0,0,0,0,0,0,832,0,0,0,1,1,61,1,0,0,1,0,0,0,1,3,61,0,0,0,1923,9248,3477,2687,4631,6861,743,2983,191,61,48
14,4,2,552,3425,27890,7,5,1,0,2294,0,0,400,1894,1894,400,0,0,0,400,0,0,1894,0,1894,400,0,0,0,400,0,0,1894,0,0,0,0,1,56,0,1,0,3,1,0,0,0,12,45.3333333333333,6933,634,0,11523,30659,10136,2277,40566,5778,8285,2972,78,56,24
15,2,3,1097,853,7424,4,6,1,0,1740,0,0,0,1740,0,1740,0,0,0,0,0,0,0,1740,0,1740,0,0,0,0,0,0,0,1740,0,0,1,2,28,2,1,1,5,1,0,0,0,23,20,0,0,0,2414,0,11460,0,11457,2909,16171,1058,175,28,11
16,0,2,3429,2137,23908,3,9,4,0,1566,0,0,0,1566,1566,0,0,0,0,0,0,0,1566,0,1566,0,0,0,0,0,0,0,1566,0,0,0,1,1,49,2,1,0,2,1,0,0,0,18,52.5,5303,886,0,8218,23129,11557,12927,25743,603,5095,2838,360,49,56
17,0,4,5356,1055,4327,7,4,1,1,429,0,0,0,429,429,0,0,0,0,0,0,0,429,0,286,429,0,0,0,0,0,0,0,429,0,0,0,1,59,1,0,0,1,0,1,0,1,9,59,2500,0,0,4502,2026,0,0,8236,3729,18721,67932,878,59,21
18,2,2,1078,701,6288,4,2,1,1,3283,0,0,400,2883,2883,400,0,0,0,400,0,0,2883,0,0,3283,0,0,0,400,0,0,0,2883,0,0,0,1,54,2,1,0,2,1,0,0,0,24,55.5,0,484,0,2837,0,0,747,17871,22324,43009,19662,826,54,57
19,2,3,2040,99,1951,4,5,1,1,2060,0,553,400,1107,1107,953,0,0,0,400,0,553,1107,0,0,2060,0,0,0,400,0,553,0,1107,0,0,1,2,82,1,0,0,1,0,1,0,0,10,82,1984,331,0,847,0,0,0,5810,0,20638,25461,448,82,55
20,0,2,5590,1275,17256,2,2,2,1,1950,975,0,250,725,725,1225,0,975,0,250,0,0,725,0,340,1950,0,975,0,250,0,0,0,725,0,0,1,1,27,1,1,0,4,0,0,1,1,4,15,5117,0,0,4914,7205,21417,0,25342,6391,0,45537,505,27,5
21,0,2,5402,1314,13441,4,8,3,1,5334,2100,0,400,2834,4409,925,1575,525,0,400,0,0,2834,0,4934,925,1575,525,0,400,0,0,2834,0,1,0,1,2,79,1,1,0,2,1,1,0,0,24,73,0,999,0,12010,12706,0,0,21145,19667,37889,101733,1548,79,67
22,2,2,2067,1808,2254,2,2,4,1,1360,0,0,0,1360,1020,340,0,0,0,0,0,0,1020,340,0,1360,0,0,0,0,0,0,0,1360,0,0,1,2,48,1,0,1,2,0,1,1,1,4,67,0,0,0,2293,0,0,844,4554,5912,15008,15507,354,48,86
23,2,2,2148,227,6971,4,3,1,1,1967,0,0,0,1967,1967,0,0,0,0,0,0,0,1967,0,1967,0,0,0,0,0,0,0,1967,0,0,0,1,2,49,2,1,0,7,1,1,0,0,24,29.5714285714286,0,0,0,2947,621,0,0,20217,18784,31692,24024,724,49,6
24,0,2,4597,1143,22210,1,4,1,1,5440,2320,0,400,2720,1088,4352,0,2320,0,400,0,0,1088,1632,1805,4466,0,2320,0,400,0,0,974,1746,0,0,1,2,84,1,1,0,2,0,1,0,0,18,84,5043,842,7310,13553,8154,14164,0,39910,5424,0,47158,511,84,84
25,0,2,5545,1032,18021,3,2,3,1,5164,966,1023,400,2775,3499,1665,725,242,0,400,0,1023,2775,0,4764,2389,0,966,0,400,0,1023,2775,0,0,0,1,2,37,2,1,0,4,1,0,0,0,24,20.25,0,630,0,12408,12365,0,0,36715,23159,44536,103222,1661,37,2
26,0,2,3274,2087,11962,1,5,3,1,1302,0,0,400,902,902,400,0,0,0,400,0,0,902,0,902,400,0,0,0,400,0,0,902,0,0,0,1,2,61,0,0,0,4,1,0,0,0,14,36.5,3545,592,0,2564,17092,0,0,21158,0,25722,25982,502,61,4
27,2,2,2592,1495,12024,4,7,1,1,2460,0,0,400,2060,2060,400,0,0,0,400,0,0,2060,0,2060,400,0,0,0,400,0,0,2060,0,0,0,0,2,51,2,1,0,2,1,0,0,0,18,50.5,0,527,0,7896,7073,0,0,26055,9434,18175,19519,458,51,50
28,0,1,7266,840,12713,3,6,3,1,1750,0,0,0,1750,1167,583,0,0,0,0,0,0,1167,583,584,1166,0,0,0,0,0,0,584,1166,0,0,1,1,68,1,0,0,1,0,1,0,0,6,68,5247,0,5999,13844,2386,5603,0,21544,5761,0,97551,1004,68,19
29,0,2,6298,862,18488,9,12,3,1,3596,1598,0,400,1598,3196,400,1598,0,0,400,0,0,1598,0,3196,400,1598,0,0,400,0,0,1598,0,0,0,1,1,25,1,1,0,6,1,0,0,0,11,11.6666666666667,7547,690,0,3353,8189,20111,0,31428,0,0,41675,405,25,1
30,0,2,4504,988,6030,4,7,1,1,1280,0,0,0,1280,1280,0,0,0,0,0,0,0,1280,0,0,1280,0,0,0,0,0,0,0,1280,0,0,1,1,36,1,1,1,6,0,0,0,1,8,19.3333333333333,0,0,0,1413,0,0,0,19161,6776,27765,37592,701,36,4
31,0,2,6319,949,7558,2,4,2,1,2060,754,0,250,1056,1810,250,754,0,0,250,0,0,1056,0,1810,1004,0,754,0,250,0,0,1056,0,0,0,1,1,60,1,0,0,1,0,1,0,0,8,60,2293,383,0,4199,4337,3534,6626,7092,2896,7037,358,157,60,55
32,0,5,5153,1305,3997,1,7,3,1,1058,0,0,0,1058,1058,0,0,0,0,0,0,0,1058,0,529,1058,0,0,0,0,0,0,0,1058,0,0,0,1,44,2,0,0,3,1,0,1,0,4,24.6666666666667,0,0,0,1187,2122,3235,3219,3875,3735,15963,8761,152,44,14
33,0,2,7818,671,8591,2,11,4,1,6138,2046,0,400,3692,5738,400,2046,0,0,400,0,0,3692,0,5738,400,2046,0,0,400,0,0,3692,0,0,0,0,1,59,1,1,0,2,1,1,0,0,17,59,0,694,4748,1772,5179,0,0,22363,11668,0,26892,375,59,59
34,0,2,5317,1179,26737,3,3,3,1,5516,1278,1080,400,2758,2758,2758,0,1278,0,400,0,1080,2758,0,1279,5516,0,1278,0,400,0,1080,0,2758,0,0,1,1,51,2,1,0,4,1,0,0,0,18,34.75,4083,1195,20739,11086,4857,0,4118,71166,4497,917,3407,173,51,16
35,0,2,5440,944,10518,1,4,3,1,2460,0,459,400,1601,1601,859,0,0,0,400,0,459,1601,0,0,2460,0,0,0,400,0,459,0,1601,0,0,0,1,37,2,1,0,4,1,0,0,0,24,21,0,606,0,6180,0,0,2144,27563,9070,33409,60215,998,37,5
36,2,2,1369,271,6423,4,1,2,1,1082,0,0,0,1082,1082,0,0,0,0,0,0,0,1082,0,0,1082,0,0,0,0,0,0,0,1082,0,0,0,2,41,2,0,0,3,1,0,0,0,24,20,0,0,0,5274,0,0,0,16641,14040,22987,14320,499,41,8
37,3,2,1859,3018,24102,1,6,1,0,2500,0,0,400,2100,2100,400,0,0,0,400,0,0,2100,0,2100,400,0,0,0,400,0,0,2100,0,1,0,0,2,41,2,1,0,4,1,0,0,0,14,25.25,3134,0,3583,4857,26916,13679,3213,33571,8450,17075,3963,169,41,11
38,0,5,7129,511,15017,3,12,1,0,1460,0,0,0,1460,1460,0,0,0,0,0,0,0,1460,0,487,1460,0,0,0,0,0,0,0,1460,0,0,0,1,31,2,0,0,2,1,0,0,0,14,17.5,4609,770,0,3927,1335,10046,15496,20434,6305,12892,22,59,31,4
39,2,2,1256,1632,9455,4,4,1,1,1250,0,0,0,1250,1250,0,0,0,0,0,0,0,1250,0,1250,0,0,0,0,0,0,0,1250,0,0,0,0,2,44,2,1,0,4,1,0,0,0,13,28,0,0,0,1277,11094,0,0,19889,18880,31230,21714,698,44,10
40,2,2,1706,1416,6141,4,6,2,1,2352,0,0,400,1952,1115,1237,0,0,0,400,0,0,1115,837,0,2352,0,0,0,400,0,0,0,1952,0,0,0,1,52,2,1,0,2,1,0,0,0,23,52,0,0,3220,3872,0,0,0,17081,12611,20351,14887,465,52,52
41,0,2,3011,2172,20702,1,9,4,0,7757,0,2484,0,5273,5273,2484,0,0,0,0,0,2484,5273,0,7757,2484,0,0,0,0,0,2484,5273,0,0,0,1,2,53,1,0,0,2,0,1,0,0,17,33.5,4804,802,6963,7819,22757,0,0,40059,6986,7766,5716,351,53,14
42,2,2,2120,1387,6593,4,5,1,1,1397,0,0,0,1397,279,1118,0,0,0,0,0,0,279,1118,838,1397,0,0,0,0,0,0,0,1397,0,0,0,2,26,0,0,0,2,1,0,0,0,6,24.5,0,0,5602,3711,4677,0,0,14107,0,11132,14181,246,26,23
43,0,2,5788,900,11846,2,4,2,0,5208,1736,1736,0,1736,2170,3038,434,1302,0,0,0,1736,1736,0,744,5208,0,1736,0,0,0,1736,0,1736,1,0,0,1,47,2,1,0,4,1,0,0,0,16,30.75,2189,641,0,3944,2415,0,0,34060,8642,2843,9128,181,47,13
44,0,5,5760,923,3308,1,1,1,1,637,0,0,0,637,637,0,0,0,0,0,0,0,637,0,0,637,0,0,0,0,0,0,0,637,0,0,1,2,79,1,0,0,1,0,1,0,0,4,79,0,0,0,6438,0,0,0,4849,307,584,5798,65,79,25
45,0,3,5658,1139,14408,6,1,1,1,5440,1360,0,0,4080,4760,680,680,680,0,0,0,0,4080,0,5440,1360,0,1360,0,0,0,0,4080,0,0,0,1,2,63,1,0,1,5,0,1,0,0,8,32.8,0,739,0,7192,17946,0,2633,21389,6048,14296,4000,147,63,20
46,2,5,1093,865,11649,4,5,2,1,830,0,0,0,830,623,208,0,0,0,0,0,0,623,208,0,830,0,0,0,0,0,0,0,830,0,0,0,1,58,2,0,0,1,1,0,0,0,7,58,5761,962,0,5267,0,8878,0,25599,8198,10630,2460,119,58,12
47,0,2,6202,721,5869,2,1,1,1,4045,945,945,0,2155,2155,1890,0,945,0,0,0,945,2155,0,1156,4045,0,945,0,0,0,945,0,2155,0,0,0,2,53,2,1,0,2,1,0,0,0,23,49.5,3024,505,3457,2765,1174,0,0,16086,1517,7435,0,87,53,46
48,1,5,4878,1283,4410,1,1,1,1,1216,0,0,0,1216,1216,0,0,0,0,0,0,0,1216,0,1216,1216,0,0,0,0,0,0,0,1216,0,0,0,2,58,2,0,1,1,1,0,0,0,23,58,0,0,0,3877,3580,0,0,7590,4652,8847,60078,715,58,43
49,0,4,4338,1317,8117,1,9,1,1,955,0,0,0,955,955,0,0,0,0,0,0,0,955,0,955,0,0,0,0,0,0,0,955,0,0,0,1,2,22,0,0,0,2,0,0,0,0,4,22,2544,425,0,2490,3204,5544,6043,10414,2727,1324,69,159,22,22
50,0,2,4627,1508,9281,3,6,2,0,2304,1152,0,400,752,1904,400,1152,0,0,400,0,0,752,0,1904,1552,0,1152,0,400,0,0,752,0,0,0,1,2,70,1,1,0,2,0,1,0,0,8,70,1256,368,2516,4166,4915,6181,5148,11258,1233,5372,2498,33,70,70
51,0,4,5870,560,4383,2,6,2,1,594,0,0,0,594,594,0,0,0,0,0,0,0,594,0,0,594,0,0,0,0,0,0,0,594,0,0,1,1,26,1,0,1,4,0,0,1,1,5,10.5,2123,355,0,2079,0,0,5346,7530,14972,60248,0,731,26,2
52,2,2,912,1370,7659,4,7,1,1,2584,0,0,400,2184,1492,1092,0,0,400,0,0,0,1092,1092,746,1838,0,0,0,400,0,0,746,1438,0,0,0,2,31,2,1,1,4,1,0,0,0,24,19,2643,441,0,2007,1837,0,0,22289,19847,18411,5680,427,31,2
53,0,2,4920,1559,5398,3,2,1,1,1147,0,0,250,897,179,968,0,0,0,250,0,0,179,718,179,1147,0,0,0,250,0,0,0,897,0,0,1,2,56,2,1,0,2,1,0,0,0,7,54,2831,473,0,2911,4399,0,1578,9530,1128,4633,9262,146,56,52
54,2,5,1234,1090,1945,4,6,1,1,524,0,0,0,524,0,524,0,0,0,0,0,0,0,524,524,524,0,0,0,0,0,0,0,524,0,0,1,1,27,1,1,1,2,1,0,0,0,6,27.5,0,0,0,2224,1117,0,0,3295,5808,11046,2510,188,27,28
55,0,5,2138,2185,14295,1,9,3,0,552,0,0,0,552,552,0,0,0,0,0,0,0,552,0,552,0,0,0,0,0,0,0,552,0,0,0,1,1,42,1,0,0,2,0,0,1,1,5,27.5,0,0,0,3891,13786,9275,6332,15491,1236,6731,163,108,42,13
56,0,2,4972,1496,5485,3,3,1,1,3839,563,1638,0,1638,1638,2201,0,563,0,0,0,1638,1638,0,3839,2201,0,563,0,0,0,1638,1638,0,0,0,1,2,73,1,0,0,1,0,1,0,0,10,73,2206,0,3198,3186,4717,0,0,10812,3148,15804,50094,671,73,14
57,0,2,7974,587,9377,3,9,1,1,2736,1368,0,400,968,2302,434,1334,34,0,400,0,0,968,0,2336,434,1334,34,0,400,0,0,968,0,0,0,0,2,47,2,1,0,3,1,0,0,0,24,35.3333333333333,2841,475,4119,4403,1605,0,0,25986,6500,28288,56484,887,47,7
58,0,2,5571,900,28540,2,8,3,1,9243,3654,0,650,4939,8593,650,3654,0,0,650,0,0,4939,0,8593,4304,0,3654,0,650,0,0,4939,0,0,0,0,2,60,2,1,0,2,1,1,0,0,19,59,5386,899,0,9386,19544,0,3141,65307,30931,39266,90739,1564,60,58
59,1,2,6602,898,10174,1,3,2,1,4450,1375,850,400,1825,4050,400,1375,0,0,400,850,0,1825,0,4050,400,1375,0,0,400,850,0,1825,0,0,0,1,1,70,1,1,0,3,1,1,0,0,14,69.3333333333333,0,666,4559,4101,5474,0,0,25139,8486,29280,81289,1157,70,65
60,0,2,8001,565,14365,3,9,4,0,4352,1234,0,650,2468,3702,650,1234,0,0,650,0,0,2468,0,1114,3609,0,1234,0,650,0,0,743,1725,0,0,1,2,54,2,1,0,2,1,0,0,0,24,53.5,0,675,9236,7758,2024,0,0,39231,678,9800,7161,33,54,53
61,0,2,6372,585,4529,1,1,1,1,1186,0,0,250,936,936,250,0,0,0,250,0,0,936,0,375,1186,0,0,0,250,0,0,0,936,0,0,1,1,77,1,0,0,1,0,1,0,0,5,77,1312,0,3332,2207,454,2455,1430,8907,0,0,66576,647,77,19
62,0,2,6793,707,5740,3,5,4,1,2080,790,0,250,1040,1633,448,593,198,0,250,0,0,1040,0,366,2080,0,790,0,250,0,0,0,1040,0,0,0,1,54,2,1,0,2,1,0,0,0,18,54,2654,0,3034,2729,785,0,0,16071,1942,7975,32478,412,54,54
63,0,1,4055,947,5012,3,3,3,0,524,0,0,0,524,524,0,0,0,0,0,0,0,524,0,131,524,0,0,0,0,0,0,0,524,0,0,1,1,83,1,0,0,2,1,1,1,1,10,59.5,2884,0,0,2769,1009,0,3645,9678,1811,17229,8710,12,83,36
64,1,2,6656,931,3559,2,1,2,0,3564,891,891,0,1782,668,2896,0,891,0,0,0,891,668,1114,891,3564,0,891,0,0,0,891,0,1782,0,0,0,2,46,2,1,0,3,1,0,0,0,19,31.3333333333333,0,0,0,1170,2063,0,0,8910,2538,6448,2795,307,46,17
65,0,2,1505,2650,15482,1,6,1,0,2123,0,0,400,1723,1723,400,0,0,0,400,0,0,1723,0,1723,400,0,0,0,400,0,0,1723,0,0,0,0,2,25,2,0,0,3,1,0,0,0,23,24.6666666666667,2911,486,0,5211,15791,7770,4814,19239,4907,17769,7199,201,25,23
66,0,5,7607,489,4055,2,4,2,1,430,0,0,0,430,430,0,0,0,0,0,0,0,430,0,0,430,0,0,0,0,0,0,0,430,0,0,0,1,47,2,0,0,1,1,0,0,0,7,47,0,0,0,2975,0,5705,0,5156,3607,0,43667,459,47,38
67,0,2,6791,791,7504,3,2,1,1,2704,704,648,0,1352,1127,1577,0,704,0,0,0,648,1127,225,0,2704,0,704,0,0,0,648,0,1352,0,0,0,2,23,2,1,0,4,1,0,0,1,10,12,0,0,0,5532,0,0,2355,17717,21046,34812,116396,1674,23,1
68,4,2,1214,2523,26805,2,7,1,0,1584,0,792,0,792,792,792,0,0,0,0,0,792,792,0,1584,792,0,0,0,0,0,792,792,0,0,0,1,1,31,1,1,0,6,1,0,1,1,8,13.1666666666667,5429,0,0,9462,30058,26413,0,25526,1249,601,9585,212,31,3
69,0,3,5752,1049,15112,1,4,1,1,3221,588,588,0,2045,877,2345,0,588,0,0,0,588,877,1169,460,3221,0,588,0,0,0,588,0,2045,0,0,1,1,30,2,0,0,6,1,0,0,1,3,12.5,3293,0,0,3162,4072,16019,8763,19547,2652,13043,1672,353,30,2
70,1,4,4974,1259,3333,1,4,1,1,437,0,0,0,437,437,0,0,0,0,0,0,0,437,0,0,437,0,0,0,0,0,0,0,437,0,0,0,2,38,2,0,1,1,1,0,0,0,8,38,0,0,0,5024,0,0,0,6347,0,7909,49753,560,38,5
71,0,1,4332,402,11310,2,8,2,0,1352,0,0,0,1352,1352,0,0,0,0,0,0,0,1352,0,1352,0,0,0,0,0,0,0,1352,0,0,0,0,1,70,0,0,0,1,1,1,0,0,8,70,4133,690,0,4046,2089,4414,10845,17196,1774,16380,6529,146,70,23
72,0,2,703,4246,22502,4,6,3,0,2253,0,0,400,1853,1853,400,0,0,0,400,0,0,1853,0,1853,400,0,0,0,400,0,0,1853,0,0,0,0,1,54,2,0,0,1,1,0,0,0,12,54,3766,629,0,6250,33590,8220,4280,24437,1946,4395,385,208,54,18
73,0,4,4811,1418,23740,1,3,2,1,1022,68,0,0,955,1005,17,51,17,0,0,0,0,955,0,1022,17,51,17,0,0,0,0,955,0,0,0,1,1,41,2,1,1,5,1,0,0,0,22,26,0,1877,0,10790,24869,0,0,45342,5882,11185,54743,698,41,4
74,0,2,6678,770,17349,2,6,1,0,2970,990,0,250,1730,2720,250,990,0,0,250,0,0,1730,0,2720,1240,0,990,0,250,0,0,1730,0,0,0,1,1,73,1,0,0,1,0,1,0,0,5,73,10160,1697,0,9947,5247,10850,0,33151,8039,9522,9132,3,73,45
75,4,2,701,3321,23355,7,6,1,0,2074,0,0,400,1674,1674,400,0,0,0,400,0,0,1674,0,1674,400,0,0,0,400,0,0,1674,0,0,0,0,1,50,0,1,0,4,1,0,0,0,12,28,2347,687,0,4026,27432,12152,2504,33573,5158,6939,8019,222,50,7
76,0,2,6908,843,8022,4,1,1,1,2178,696,0,0,1482,2178,0,696,0,0,0,0,0,1482,0,1307,2178,0,696,0,0,0,0,0,1482,0,0,1,1,78,1,0,0,2,1,1,0,0,7,60.5,5006,0,0,4577,5682,0,0,17112,0,30343,138207,1638,78,43
77,0,2,7476,722,3007,3,2,3,0,2574,858,858,0,858,858,1716,0,858,0,0,0,858,858,0,0,2574,0,858,0,0,0,858,0,858,0,0,1,1,74,1,0,0,1,1,1,0,0,5,74,0,0,0,1703,0,0,0,8557,4635,16975,8816,312,74,53
78,4,2,172,4281,24902,7,7,1,0,4028,0,2014,400,1614,1614,2414,0,0,0,400,0,2014,1614,0,3628,2414,0,0,0,400,0,2014,1614,0,0,0,0,2,35,2,1,0,4,1,0,0,0,23,19.75,3351,560,4858,2423,37806,9904,913,33919,6091,17941,4665,15,35,4
79,0,3,4230,1750,5183,1,1,1,1,2210,675,0,0,1535,1535,675,0,675,0,0,0,0,1535,0,1024,1499,0,675,0,0,0,0,711,824,0,0,0,2,52,2,0,0,1,1,0,0,0,24,52,2961,495,0,3044,3838,0,0,10802,1954,9812,37420,478,52,23
80,3,2,1451,2606,20650,4,9,1,1,5040,0,1680,400,2960,2960,2080,0,0,0,400,0,1680,2960,0,4640,2080,0,0,0,400,0,1680,2960,0,0,0,1,2,32,2,1,0,4,1,0,0,0,23,17.75,3867,646,0,5992,33976,0,4032,26458,8459,34039,0,413,32,1
81,0,2,6121,1065,10526,3,4,2,1,5244,1748,1748,0,1748,3496,1748,1748,0,0,0,0,1748,1748,0,5244,3496,0,1748,0,0,0,1748,1748,0,0,0,0,1,44,2,0,0,3,1,0,0,0,11,25,2805,468,0,5439,7678,0,1739,21059,0,33008,85327,1150,44,15
82,0,4,5051,1480,6543,2,1,2,1,550,0,0,0,550,550,0,0,0,0,0,0,0,550,0,0,550,0,0,0,0,0,0,0,550,0,0,0,1,37,2,1,1,2,1,0,0,0,9,31.5,0,0,0,3723,0,11736,0,6865,0,0,31157,303,37,26
83,0,2,6039,1112,6517,3,6,1,1,1508,0,0,250,1258,1258,250,0,0,0,250,0,0,1258,0,1258,250,0,0,0,250,0,0,1258,0,0,0,1,1,86,1,0,0,1,0,1,0,0,6,86,3606,0,4122,2897,5446,0,2175,11718,0,14580,49424,622,86,52
84,0,2,4651,105,8946,2,5,1,1,2428,0,0,400,2028,2028,400,0,0,0,400,0,0,2028,0,0,2428,0,0,0,400,0,0,0,2028,0,0,0,1,43,2,1,0,3,1,0,0,0,15,33,2798,467,0,2125,0,10578,0,17821,0,0,31307,304,43,14
85,0,5,5733,1460,1749,1,5,3,1,359,0,0,0,359,359,0,0,0,0,0,0,0,359,0,359,359,0,0,0,0,0,0,0,359,0,0,1,2,46,0,0,0,1,1,1,0,0,3,46,0,0,0,1944,1888,0,0,2136,2708,5151,28682,355,46,11
86,0,2,5834,962,8549,2,1,4,1,5936,896,1680,400,2960,2960,2976,0,896,0,400,0,1680,2960,0,0,5936,0,896,0,400,0,1680,0,2960,1,0,0,1,48,2,1,0,3,1,0,0,0,16,40,2969,869,0,3949,0,0,3166,22054,4215,7334,3799,328,48,11
87,0,4,6028,855,11730,3,1,1,1,1406,0,0,0,1406,1406,0,0,0,0,0,0,0,1406,0,402,1406,0,0,0,0,0,0,0,1406,0,0,0,1,34,2,1,0,5,1,0,0,0,9,17,4441,742,0,4566,3130,0,0,32327,0,29224,0,284,34,1
88,0,2,6022,1071,6992,3,4,1,1,660,0,0,0,660,660,0,0,0,0,0,0,0,660,0,660,0,0,0,0,0,0,0,660,0,0,0,1,1,55,1,1,0,2,0,1,0,0,6,55,0,0,0,5633,4586,0,0,13638,10951,17673,56680,829,55,55
89,0,3,5253,1577,9496,1,6,1,1,1585,500,0,250,835,1085,500,250,250,0,250,0,0,835,0,334,1585,0,500,0,250,0,0,0,835,0,0,0,1,26,1,0,0,2,1,0,0,1,23,14,4306,0,0,1837,2569,0,6257,21737,0,21741,56257,758,26,2
90,2,5,2144,1415,6592,2,5,2,1,773,0,0,0,773,0,773,0,0,0,0,0,0,0,773,193,773,0,0,0,0,0,0,0,773,0,0,0,2,43,2,0,0,2,1,0,0,0,18,29.5,0,531,0,2907,2696,6930,0,9959,0,0,8335,81,43,16
91,0,4,5569,764,6087,1,5,3,0,858,0,0,0,858,858,0,0,0,0,0,0,0,858,0,0,858,0,0,0,0,0,0,0,858,0,0,0,1,26,2,1,0,2,1,0,0,0,10,28,0,440,0,2136,0,5738,6888,6007,4944,2784,2031,262,26,30
92,1,4,4836,1346,5450,1,1,1,1,666,0,0,0,666,666,0,0,0,0,0,0,0,666,0,333,666,0,0,0,0,0,0,0,666,0,0,1,1,35,1,1,1,5,0,0,0,0,4,19.8,0,0,0,3448,3862,0,0,11285,11936,0,0,116,35,2
93,0,2,4644,1625,25254,3,7,4,0,4892,2400,0,400,2092,4492,400,2400,0,0,400,0,0,2092,0,4492,400,2400,0,0,400,0,0,2092,0,0,0,0,1,53,1,1,0,3,1,0,0,0,22,42.6666666666667,0,1024,0,10905,23911,0,0,51351,4313,9933,2491,94,53,25
