DOEID,LRGSTATE,TYPEHUQ,HD65,CD65,KWH,WALLTYPE,YEARMADE,URBRUR,UGASHERE,TOTSQFT,TOTBASESQFT,TOTATTCSQFT,TOTGARGSQFT,TOTRHMSQFT,TOTHSQFT,TOTUSQFT,BASHSQFT,BASUSQFT,GARHSQFT,GARUSQFT,ATTHSQFT,ATTUSQFT,RHMHSQFT,RHMUSQFT,TOTCSQFT,TOTUCSQFT,BASCSQFT,BASUCSQFT,GARCSQFT,GARUCSQFT,ATTCSQFT,ATTUCSQFT,RHMCSQFT,RHMUCSQFT,HBUSNESS,OTHWORK,ATHOME,HHSEX,HHAGE,EMPLOYHH,SPOUSE,SDESCENT,NHSLDMEM,WORKPAY,RETIREPY,CASHBEN,NCASHBEN,MONEYPY,AVGAGEHH,BTUELCDR,BTUELDWH,BTUELFZZ,BTUELRFG,BTUELCOL,BTUELWTH,BTUELSPH,BTUELAPL,BTUNGAPL,BTUNGWTH,BTUNGSPH,CUFEETNG,AGEHHMEM1,AGEHHMEMY
944,2,4,916,1123,875,4,6,3,1,1167,0,0,0,1167,1167,0,0,0,0,0,0,0,1167,0,1167,0,0,0,0,0,0,0,1167,0,0,0,1,1,30,1,0,0,1,0,0,0,0,4,30,0,0,0,531,782,0,0,1673,3419,6501,4983,145,30,40
945,2,2,989,1264,7507,4,1,1,1,1120,0,0,0,1120,840,280,0,0,0,0,0,0,840,280,280,1120,0,0,0,0,0,0,0,1120,0,0,1,2,54,1,1,0,5,1,1,0,0,9,44,0,0,0,8912,1939,0,3648,11115,5893,13967,0,193,54,13
946,0,2,6955,741,9421,4,1,1,1,4200,1200,900,0,2100,3300,900,1200,0,0,0,0,900,2100,0,0,4200,0,1200,0,0,0,900,0,2100,0,0,0,2,44,2,1,0,2,1,0,0,0,17,44,0,425,0,6382,0,0,0,25762,3694,24550,95545,1203,44,44
947,0,4,6254,957,4165,3,9,2,1,3840,1920,0,0,1920,1920,1920,0,1920,0,0,0,0,1920,0,3840,1920,0,1920,0,0,0,0,1920,0,0,0,0,2,83,1,0,0,1,1,1,0,0,13,83,3701,618,0,3384,2123,0,0,8704,0,15531,40447,544,83,46
948,0,2,2074,2253,26466,2,6,4,0,1800,0,0,400,1400,1400,400,0,0,0,400,0,0,1400,0,1400,400,0,0,0,400,0,0,1400,0,0,0,1,1,27,0,1,0,4,1,0,0,1,6,17.5,4323,722,4942,7534,17494,18092,7907,39275,774,205,9116,319,27,4
949,0,2,3318,1902,20737,3,6,4,1,2860,0,1430,0,1430,1144,1716,0,0,0,0,0,1430,1144,286,1083,2318,0,0,0,0,0,1430,542,888,0,0,0,2,44,2,1,0,4,1,0,0,0,11,27.75,3672,613,5322,7189,13332,16025,0,34209,7985,0,30500,374,44,10
950,0,2,6376,898,10549,3,12,4,0,3808,1904,0,0,1904,3808,0,1904,0,0,0,0,0,1904,0,3808,0,1904,0,0,0,0,0,1904,0,0,0,1,1,52,1,1,0,2,1,0,0,0,13,48.5,0,406,7053,3063,5942,0,0,26988,7707,15273,7543,272,52,45
951,0,5,5786,917,3153,1,9,1,1,613,0,0,0,613,613,0,0,0,0,0,0,0,613,0,613,0,0,0,0,0,0,0,613,0,0,0,1,1,26,2,1,0,2,1,0,0,0,13,26,0,275,0,1694,1893,3590,0,3581,0,0,36359,353,26,26
952,0,2,4357,1733,7006,3,5,4,0,1800,0,0,0,1800,1800,0,0,0,0,0,0,0,1800,0,225,1800,0,0,0,0,0,0,0,1800,0,0,1,2,53,0,1,0,4,1,0,1,1,3,30.25,2829,0,2246,3755,1715,4776,812,12846,3826,5365,4315,321,53,13
953,0,3,4443,1617,3771,1,3,1,1,2203,245,0,250,1708,1953,250,245,0,0,250,0,0,1708,0,1953,250,245,0,0,250,0,0,1708,0,0,0,0,1,36,2,1,0,2,0,0,0,0,12,36,0,423,0,2480,3336,0,0,7051,8803,22346,48690,776,36,36
954,0,2,4718,1470,10193,1,3,1,1,3672,1224,1224,0,1224,2142,1530,918,306,0,0,0,1224,1224,0,3672,1530,918,306,0,0,0,1224,1224,0,0,0,0,2,41,2,1,0,2,1,0,0,0,18,43,3382,565,3867,5242,10273,0,0,19264,7481,36677,83375,1239,41,45
955,0,2,5463,691,14512,3,1,4,0,3830,1394,0,0,2436,1810,2020,349,1046,0,0,0,0,1462,974,0,3830,0,1394,0,0,0,0,0,2436,0,0,1,2,75,1,0,0,1,0,1,0,0,5,75,3576,597,15549,3501,0,3818,5238,36958,4426,15029,7005,89,75,50
956,0,5,2367,2339,11411,2,6,3,0,663,0,0,0,663,663,0,0,0,0,0,0,0,663,0,663,0,0,0,0,0,0,0,663,0,0,0,0,1,58,2,0,0,1,1,0,0,0,3,58,3842,642,0,3950,10118,5921,6271,12674,5590,13646,9401,270,58,37
957,3,3,1438,2746,7045,1,5,3,1,2400,0,1200,0,1200,1200,1200,0,0,0,0,0,1200,1200,0,2400,1200,0,0,0,0,0,1200,1200,0,0,0,0,1,26,2,0,0,3,1,0,1,1,7,13.3333333333333,0,355,0,906,13733,0,0,9399,4451,11357,12078,271,26,6
958,0,2,4815,1553,11963,3,7,3,1,2736,1368,0,400,968,2336,400,1368,0,0,400,0,0,968,0,2336,400,1368,0,0,400,0,0,968,0,0,0,0,2,45,2,1,0,4,1,0,0,0,19,28.5,0,481,3295,2822,11656,0,0,26340,9303,34266,49864,908,45,10
959,0,2,6454,969,15530,1,4,4,1,4380,2190,0,400,1790,3925,455,2135,55,0,400,0,0,1790,0,3980,455,2135,55,0,400,0,0,1790,0,0,0,0,2,45,2,0,0,2,1,0,0,0,21,45,0,839,7286,4077,11452,0,0,37459,5931,18823,51598,742,45,45
960,0,2,4397,1490,12654,3,4,1,1,2268,884,0,250,1134,2268,0,884,0,250,0,0,0,1134,0,2018,0,884,0,250,0,0,0,1134,0,0,0,1,2,75,1,1,0,2,0,0,0,0,11,72.5,2884,482,0,7517,7655,5720,7157,15126,5942,15584,8832,201,75,70
961,0,2,5947,1175,7873,3,1,1,1,2880,960,960,0,960,960,1920,0,960,0,0,0,960,960,0,2880,1920,0,960,0,0,0,960,960,0,0,0,1,2,31,2,1,0,3,1,0,0,0,23,29.6666666666667,0,582,0,4744,6531,0,0,15587,13630,22315,62942,961,31,29
962,0,2,5848,1322,10931,3,3,1,1,912,456,0,0,456,912,0,456,0,0,0,0,0,456,0,912,0,456,0,0,0,0,0,456,0,0,0,1,2,34,2,1,0,4,1,0,0,0,12,22,0,689,0,1847,9794,0,0,25656,2719,25041,47769,734,34,9
963,3,5,1019,3682,15569,1,5,3,1,666,0,0,0,666,666,0,0,0,0,0,0,0,666,0,666,0,0,0,0,0,0,0,666,0,0,0,1,2,27,2,1,1,3,1,0,0,0,9,16.6666666666667,0,803,0,4707,17434,12835,5180,12965,4972,12511,41,129,27,1
964,2,2,1248,1036,10456,4,5,1,1,2122,0,0,250,1872,1872,250,0,0,0,250,0,0,1872,0,1872,250,0,0,0,250,0,0,1872,0,0,1,1,1,48,2,0,0,3,1,1,0,0,10,44.6666666666667,2344,0,0,8525,3931,0,2863,20357,5648,20912,6985,326,48,20
965,0,5,6578,771,2427,3,6,3,1,1197,0,0,0,1197,0,1197,0,0,0,0,0,0,0,1197,0,1197,0,0,0,0,0,0,0,1197,0,0,1,2,54,1,1,0,2,1,0,0,0,21,50.5,0,395,0,2268,0,0,0,6012,0,28515,17733,449,54,47
966,0,5,4352,1568,15958,1,4,1,1,620,0,0,0,620,620,0,0,0,0,0,0,0,620,0,0,620,0,0,0,0,0,0,0,620,0,0,1,1,83,1,0,0,1,0,1,0,1,5,83,0,0,0,7947,0,9960,20368,16174,2750,5964,9767,360,83,46
967,0,4,6454,822,9522,3,1,1,1,312,156,0,0,156,156,156,0,156,0,0,0,0,156,0,0,312,0,156,0,0,0,0,0,156,0,0,0,1,42,0,0,0,3,1,0,0,0,5,21.6666666666667,0,0,0,12487,0,0,0,20002,11438,21752,119308,1482,42,2
968,0,2,3703,1632,10767,5,3,1,1,1064,0,0,0,1064,1064,0,0,0,0,0,0,0,1064,0,426,1064,0,0,0,0,0,0,0,1064,0,0,1,1,47,1,0,0,2,0,0,0,0,5,36.5,0,0,5322,4557,9748,0,0,22432,5786,14687,25832,450,47,26
969,0,5,4922,1220,2425,1,9,3,1,1114,0,0,0,1114,1114,0,0,0,0,0,0,0,1114,0,1114,0,0,0,0,0,0,0,1114,0,0,0,0,1,27,2,0,0,1,1,0,0,0,6,27,0,408,0,2512,1852,0,0,3909,5823,11073,64497,791,27,6
970,0,2,6729,654,8762,2,6,2,1,3523,1368,0,400,1755,1755,1768,0,1368,0,400,0,0,1755,0,390,3523,0,1368,0,400,0,0,0,1755,1,0,0,2,43,2,1,0,2,1,0,0,0,24,37.5,2904,485,0,2205,882,0,0,26809,0,34782,88904,1202,43,32
971,2,2,1177,656,2924,4,2,1,1,1640,0,0,0,1640,1640,0,0,0,0,0,0,0,1640,0,0,1640,0,0,0,0,0,0,0,1640,0,0,0,2,55,2,1,1,4,1,0,0,0,8,31,0,291,0,2834,0,0,459,6684,15686,30166,12081,563,55,14
972,0,1,1182,3806,2377,3,4,4,0,1085,0,0,0,1085,0,1085,0,0,0,0,0,0,0,1085,0,1085,0,0,0,0,0,0,0,1085,0,0,0,2,56,2,0,1,1,1,0,0,0,6,56,0,0,0,4348,0,0,0,3762,1010,11268,7343,195,56,25
973,0,2,5893,1008,6360,2,1,1,1,725,0,0,0,725,725,0,0,0,0,0,0,0,725,0,0,725,0,0,0,0,0,0,0,725,0,0,1,2,41,2,1,1,9,1,0,1,0,15,19.8888888888889,0,0,0,2733,0,0,0,18967,0,14133,53987,662,41,1
974,0,2,7222,731,6817,3,7,1,1,1731,444,0,400,887,887,844,0,444,0,400,0,0,887,0,1331,844,0,444,0,400,0,0,887,0,0,0,0,1,56,0,1,0,2,1,0,0,0,23,55,1488,435,2980,3664,2239,0,1709,15648,0,19748,51973,697,56,54
975,0,2,6843,668,7078,2,5,2,0,8112,2028,2028,400,3656,5684,2428,2028,0,0,400,0,2028,3656,0,1928,8112,0,2028,0,400,0,2028,0,3656,0,0,1,1,60,1,1,0,2,1,1,0,0,17,61,2228,372,2547,3402,2015,0,0,18733,5340,8410,50,183,60,62
976,0,5,6730,1066,6478,3,7,1,1,800,0,0,0,800,400,400,0,0,0,0,0,0,400,400,200,800,0,0,0,0,0,0,0,800,0,0,0,1,31,2,0,0,1,1,0,0,0,8,31,0,630,0,3448,1940,0,9743,6972,312,12788,6518,78,31,40
977,3,2,1240,3251,8064,3,4,4,1,2128,0,1064,250,814,1878,250,0,0,0,250,1064,0,814,0,1409,2128,0,0,0,250,0,1064,0,814,0,0,0,2,47,1,0,0,1,0,0,0,0,4,47,4272,0,0,3906,11534,0,0,12074,2707,13594,11688,272,47,1
978,0,4,7669,682,8594,3,1,1,1,2160,1080,0,0,1080,1080,1080,0,1080,0,0,0,0,1080,0,360,2160,0,1080,0,0,0,0,0,1080,0,0,1,1,26,1,1,0,6,1,0,0,0,10,12,5140,858,0,4936,2216,0,0,22171,0,22757,61621,820,26,1
979,0,5,0,4772,3329,7,4,1,1,625,0,0,0,625,0,625,0,0,0,0,0,0,0,625,0,625,0,0,0,0,0,0,0,625,0,0,0,1,35,2,0,0,1,1,0,0,0,16,35,0,0,0,4288,0,0,0,7071,1812,9095,0,106,35,3
980,0,1,4578,1011,11892,3,4,1,0,540,0,0,0,540,540,0,0,0,0,0,0,0,540,0,540,0,0,0,0,0,0,0,540,0,0,0,0,1,21,0,1,1,4,1,0,1,1,4,12.25,0,0,0,3132,2723,16155,8433,10133,730,11586,5532,34,21,3
981,4,5,143,4485,25224,1,5,1,0,1284,0,0,0,1284,1284,0,0,0,0,0,0,0,1284,0,1284,0,0,0,0,0,0,0,1284,0,0,0,0,1,25,2,1,1,4,1,0,0,1,5,26.25,3096,0,0,2430,41005,16716,2630,23282,490,648,8065,304,25,27
