DOEID,HBUSNESS,OTHWORK,ATHOME,HHSEX,HHAGE,EMPLOYHH,SPOUSE,SDESCENT,NHSLDMEM,AGEHHMEM1,AGEHHMEM2,AGEHHMEM3,AGEHHMEM4,AGEHHMEM5,AGEHHMEM6,AGEHHMEM7,AGEHHMEM8,AGEHHMEM9,AGEHHMEM10,AGEHHMEM11,AGEHHMEM12,AGEHHMEMY,WORKPAY,RETIREPY,CASHBEN,NCASHBEN,MONEYPY
4159,0,0,0,2,47,2,0,0,1,47,99,99,99,99,99,99,99,99,99,99,99,99,1,0,0,0,7
4160,0,0,1,1,79,1,0,0,1,79,99,99,99,99,99,99,99,99,99,99,99,99,0,1,0,0,5
4161,0,0,1,2,77,1,0,1,1,77,99,99,99,99,99,99,99,99,99,99,99,99,0,1,0,0,3
4162,0,0,0,1,22,1,1,0,5,22,30,8,7,99,99,99,99,99,99,99,99,3,1,0,0,0,3
4163,0,0,1,1,83,1,0,0,1,83,99,99,99,99,99,99,99,99,99,99,99,99,0,1,0,0,3
4164,0,0,1,1,23,1,1,0,3,23,26,99,99,99,99,99,99,99,99,99,99,7,0,0,0,0,11
4165,0,0,0,1,46,1,0,0,1,46,99,99,99,99,99,99,99,99,99,99,99,99,0,1,0,0,5
4166,0,0,1,1,21,1,1,0,3,21,37,99,99,99,99,99,99,99,99,99,99,1,1,0,0,0,14
4167,0,0,1,2,61,2,1,0,2,61,99,99,99,99,99,99,99,99,99,99,99,55,0,0,0,0,13
4168,0,0,0,2,21,2,0,0,1,21,99,99,99,99,99,99,99,99,99,99,99,99,1,0,0,0,8
4169,1,0,1,2,65,0,1,1,3,65,92,99,99,99,99,99,99,99,99,99,99,65,1,1,0,0,24
4170,0,0,1,1,52,2,0,0,3,52,18,99,99,99,99,99,99,99,99,99,99,15,1,0,0,0,17
4171,0,0,1,1,42,0,1,0,4,42,41,7,99,99,99,99,99,99,99,99,99,5,1,0,0,0,24
4172,0,0,1,1,21,2,0,0,2,21,99,99,99,99,99,99,99,99,99,99,99,2,1,0,0,0,13
4173,1,0,1,1,30,2,1,0,4,30,31,2,99,99,99,99,99,99,99,99,99,1,1,0,0,0,16
4174,0,0,0,1,59,2,1,0,2,59,99,99,99,99,99,99,99,99,99,99,99,59,1,0,0,0,7
4175,0,0,0,1,48,2,1,0,2,48,99,99,99,99,99,99,99,99,99,99,99,47,1,0,0,0,15
4176,1,0,0,1,37,2,1,0,4,37,37,11,99,99,99,99,99,99,99,99,99,1,1,0,0,0,23
4177,1,0,1,1,52,2,1,0,4,52,54,5,99,99,99,99,99,99,99,99,99,3,1,0,0,0,24
4178,0,0,0,2,22,2,0,0,1,22,99,99,99,99,99,99,99,99,99,99,99,99,1,0,0,0,7
4179,1,0,0,2,26,2,1,0,3,26,25,99,99,99,99,99,99,99,99,99,99,2,1,0,0,0,12
4180,0,0,1,1,81,1,0,0,1,81,99,99,99,99,99,99,99,99,99,99,99,99,0,1,0,0,4
4181,0,0,1,1,57,1,0,0,2,57,99,99,99,99,99,99,99,99,99,99,99,17,1,1,0,0,8
4182,0,0,0,2,65,1,0,0,1,65,99,99,99,99,99,99,99,99,99,99,99,99,0,1,0,0,2
4183,1,0,1,1,74,1,0,0,1,74,99,99,99,99,99,99,99,99,99,99,99,99,0,1,0,0,15
4184,0,0,0,1,31,2,0,0,2,31,99,99,99,99,99,99,99,99,99,99,99,30,1,0,0,0,13
4185,0,0,1,1,43,2,0,0,4,43,24,20,99,99,99,99,99,99,99,99,99,20,1,0,0,0,5
4186,0,0,0,2,37,2,1,0,2,37,99,99,99,99,99,99,99,99,99,99,99,38,1,0,0,0,13
4187,0,0,0,1,56,0,0,0,1,56,99,99,99,99,99,99,99,99,99,99,99,99,1,0,0,0,4
4188,0,0,0,1,40,1,1,0,5,40,43,40,19,99,99,99,99,99,99,99,99,2,0,1,1,1,4
4189,0,0,1,1,42,0,1,0,5,42,51,23,21,99,99,99,99,99,99,99,99,18,1,0,0,0,17
4190,0,0,1,1,84,1,0,0,1,84,99,99,99,99,99,99,99,99,99,99,99,99,0,1,0,0,5
4191,0,0,0,2,60,2,1,0,2,60,99,99,99,99,99,99,99,99,99,99,99,56,1,0,0,0,24
4192,0,0,1,1,41,0,0,0,8,41,20,19,17,15,14,12,99,99,99,99,99,9,1,0,1,1,11
4193,0,0,0,1,52,2,1,0,2,52,99,99,99,99,99,99,99,99,99,99,99,52,1,0,0,0,24
4194,0,0,0,2,39,2,1,0,4,39,30,2,99,99,99,99,99,99,99,99,99,1,1,0,0,0,11
4195,0,0,0,1,34,2,1,0,2,34,99,99,99,99,99,99,99,99,99,99,99,34,1,0,0,0,19
4196,0,0,1,2,49,2,1,1,6,49,62,24,26,18,99,99,99,99,99,99,99,5,1,0,0,0,18
4197,0,0,0,1,49,2,1,0,3,49,48,99,99,99,99,99,99,99,99,99,99,17,1,0,0,0,24
4198,0,0,1,1,80,1,0,0,1,80,99,99,99,99,99,99,99,99,99,99,99,99,0,1,0,0,22
4199,0,0,0,1,47,2,0,0,3,47,32,99,99,99,99,99,99,99,99,99,99,23,0,0,0,0,10
4200,0,0,1,1,92,1,0,0,1,92,99,99,99,99,99,99,99,99,99,99,99,99,0,1,1,1,2
4201,1,0,1,1,82,1,0,0,3,82,59,99,99,99,99,99,99,99,99,99,99,56,0,1,0,0,4
4202,0,0,1,1,48,1,1,0,2,48,99,99,99,99,99,99,99,99,99,99,99,48,0,0,1,1,3
4203,0,0,1,1,39,0,1,0,5,39,39,16,6,99,99,99,99,99,99,99,99,5,1,0,0,0,21
4204,0,0,1,2,58,2,0,0,2,58,99,99,99,99,99,99,99,99,99,99,99,56,1,0,0,0,19
4205,0,0,1,2,87,1,1,0,2,87,99,99,99,99,99,99,99,99,99,99,99,85,0,1,0,0,11
4206,0,0,1,2,43,1,1,0,5,43,49,45,29,99,99,99,99,99,99,99,99,22,1,0,1,0,10
4207,0,0,1,1,62,1,0,0,1,62,99,99,99,99,99,99,99,99,99,99,99,99,0,0,0,1,3
4208,0,0,0,1,31,1,0,0,4,31,10,4,99,99,99,99,99,99,99,99,99,1,1,0,0,1,5
4209,0,0,0,1,38,2,1,0,3,38,32,99,99,99,99,99,99,99,99,99,99,4,1,0,0,0,10
4210,0,0,1,2,88,1,1,0,2,88,99,99,99,99,99,99,99,99,99,99,99,90,0,1,0,0,7
4211,0,0,0,1,22,1,0,0,2,22,99,99,99,99,99,99,99,99,99,99,99,18,0,0,1,1,3
4212,0,0,1,2,62,1,1,0,2,62,99,99,99,99,99,99,99,99,99,99,99,56,0,1,0,0,23
4213,0,0,1,1,59,1,0,1,5,59,30,19,3,99,99,99,99,99,99,99,99,1,1,1,1,1,10
4214,0,0,1,1,50,0,1,0,3,50,59,99,99,99,99,99,99,99,99,99,99,19,1,1,0,0,13
4215,0,0,1,1,37,0,0,0,6,37,19,15,7,10,99,99,99,99,99,99,99,10,1,1,1,1,7
4216,0,0,0,2,38,1,0,0,1,38,99,99,99,99,99,99,99,99,99,99,99,99,0,0,1,0,5
4217,0,0,0,2,43,2,0,0,1,43,99,99,99,99,99,99,99,99,99,99,99,99,1,0,0,0,8
4218,0,0,0,1,44,2,1,0,3,44,44,99,99,99,99,99,99,99,99,99,99,16,1,0,0,0,7
4219,0,0,1,2,45,2,1,1,5,45,44,21,16,99,99,99,99,99,99,99,99,12,1,0,0,0,11
4220,0,0,0,1,56,2,1,0,2,56,99,99,99,99,99,99,99,99,99,99,99,56,1,0,0,0,22
4221,0,0,1,2,71,1,0,0,1,71,99,99,99,99,99,99,99,99,99,99,99,99,0,1,0,0,7
4222,0,0,0,2,19,1,1,1,3,19,19,99,99,99,99,99,99,99,99,99,99,2,1,0,0,0,3
