DOEID,LRGSTATE,TYPEHUQ,HD65,CD65,KWH,WALLTYPE,YEARMADE,URBRUR,UGASHERE,TOTSQFT,TOTBASESQFT,TOTATTCSQFT,TOTGARGSQFT,TOTRHMSQFT,TOTHSQFT,TOTUSQFT,BASHSQFT,BASUSQFT,GARHSQFT,GARUSQFT,ATTHSQFT,ATTUSQFT,RHMHSQFT,RHMUSQFT,TOTCSQFT,TOTUCSQFT,BASCSQFT,BASUCSQFT,GARCSQFT,GARUCSQFT,ATTCSQFT,ATTUCSQFT,RHMCSQFT,RHMUCSQFT,HBUSNESS,OTHWORK,ATHOME,HHSEX,HHAGE,EMPLOYHH,SPOUSE,SDESCENT,NHSLDMEM,WORKPAY,RETIREPY,CASHBEN,NCASHBEN,MONEYPY,AVGAGEHH,BTUEL,BTUNG,BTU,AGEHHMEM1,AGEHHMEMY
3282,4,2,588,3389,15904,7,10,1,0,2820,0,0,400,2420,2420,400,0,0,0,400,0,0,2420,0,2420,400,0,0,0,400,0,0,2420,0,0,0,0,2,29,2,1,0,2,1,0,0,0,23,28,54264,22069.00382,76333.00382,29,27
3283,0,5,6270,801,7330,1,1,1,1,740,0,0,0,740,740,0,0,0,0,0,0,0,740,0,247,740,0,0,0,0,0,0,0,740,0,0,1,2,55,1,1,0,2,0,1,1,0,7,30,25010,74550.10155,99560.10155,55,5
3284,2,5,1055,980,3708,4,5,1,1,621,0,0,0,621,207,414,0,0,0,0,0,0,207,414,0,621,0,0,0,0,0,0,0,621,0,0,0,2,42,0,0,0,1,1,0,0,0,9,42,12652,2568.085104,15220.0851,42,39
3285,0,2,7077,752,4555,3,7,4,0,3216,1608,0,650,958,2566,650,1608,0,0,650,0,0,958,0,2566,650,1608,0,0,650,0,0,958,0,0,0,1,2,70,1,0,0,2,0,1,0,1,11,55,15542,96885.08922,112427.0892,70,40
3286,0,2,5431,794,2635,3,3,4,1,2050,1025,0,0,1025,2050,0,1025,0,0,0,0,0,1025,0,0,2050,0,1025,0,0,0,0,0,1025,0,0,1,1,69,0,0,1,1,0,1,0,0,6,69,8991,66679,75670,69,26
3287,0,1,641,4232,8949,2,9,2,0,675,0,0,0,675,675,0,0,0,0,0,0,0,675,0,675,0,0,0,0,0,0,0,675,0,0,0,1,1,78,1,1,0,2,0,1,0,0,1,77.5,30533,19768.8225,50301.8225,78,77
3288,0,3,7059,188,2613,1,1,2,1,2749,932,0,0,1817,1557,1192,0,932,0,0,0,0,1557,260,0,2749,0,932,0,0,0,0,0,1817,0,0,0,1,55,2,0,0,1,1,0,0,0,12,55,8914,101048,109962,55,22
3289,0,2,7742,614,13300,3,8,4,1,7392,2464,0,400,4528,6992,400,2464,0,0,400,0,0,4528,0,6992,400,2464,0,0,400,0,0,4528,0,0,0,0,1,43,2,0,0,3,1,0,0,0,22,21.66666667,45379,75426,120805,43,10
3290,0,2,4517,1963,12985,3,1,2,1,1175,0,0,0,1175,1175,0,0,0,0,0,0,0,1175,0,392,1175,0,0,0,0,0,0,0,1175,0,1,0,1,36,2,0,0,2,1,0,0,0,7,26,44305,78755.63385,123060.6339,36,16
3291,0,2,0,4893,6749,2,3,3,0,837,0,0,0,837,0,837,0,0,0,0,0,0,0,837,0,837,0,0,0,0,0,0,0,837,0,0,0,2,36,2,0,0,3,1,0,0,0,24,24.33333333,23028,35566.31092,58594.31092,36,21
