DOEID,LRGSTATE,TYPEHUQ,HD65,CD65,KWH,WALLTYPE,YEARMADE,URBRUR,UGASHERE,TOTSQFT,TOTBASESQFT,TOTATTCSQFT,TOTGARGSQFT,TOTRHMSQFT,TOTHSQFT,TOTUSQFT,BASHSQFT,BASUSQFT,GARHSQFT,GARUSQFT,ATTHSQFT,ATTUSQFT,RHMHSQFT,RHMUSQFT,TOTCSQFT,TOTUCSQFT,BASCSQFT,BASUCSQFT,GARCSQFT,GARUCSQFT,ATTCSQFT,ATTUCSQFT,RHMCSQFT,RHMUCSQFT,HBUSNESS,OTHWORK,ATHOME,HHSEX,HHAGE,EMPLOYHH,SPOUSE,SDESCENT,NHSLDMEM,WORKPAY,RETIREPY,CASHBEN,NCASHBEN,MONEYPY,AVGAGEHH,BTUEL,BTUNG,BTU,AGEHHMEM1,AGEHHMEMY
1,3,2,1231,3281,13459,1,3,1,1,1989,0,0,250,1739,1739,250,0,0,0,250,0,0,1739,0,1739,250,0,0,0,250,0,0,1739,0,0,0,1,1,55,2,0,0,2,1,1,0,0,8,55,45922,37559,83481,55,55
2,2,2,1663,1123,13051,3,6,3,1,1320,0,660,0,660,660,660,0,0,0,0,0,660,660,0,1320,660,0,0,0,0,0,660,660,0,0,0,1,1,26,1,1,0,4,1,0,1,1,13,17.5,44529,23320,67849,26,1
3,0,2,5221,1286,19464,1,4,1,1,3075,789,0,400,1886,1886,1189,0,789,0,400,0,0,1886,0,2675,1189,0,789,0,400,0,0,1886,0,0,0,1,1,63,1,1,0,2,1,1,0,0,10,62.5,66411,70178,136589,63,62
4,0,3,5261,667,28635,3,1,2,0,899,0,0,0,899,899,0,0,0,0,0,0,0,899,0,0,899,0,0,0,0,0,0,0,899,0,0,0,2,43,2,1,1,8,1,0,0,1,6,18.5,97703,93803.69373,191506.6937,43,3
5,0,2,4392,1238,28658,1,8,3,1,2176,0,444,400,1332,1332,844,0,0,0,400,0,444,1332,0,1776,844,0,0,0,400,0,444,1332,0,0,0,0,1,39,2,1,0,5,1,0,0,0,23,35,97781,70589,168370,39,3
6,0,2,5162,1236,13212,2,5,1,1,1069,0,0,0,1069,1069,0,0,0,0,0,0,0,1069,0,891,1069,0,0,0,0,0,0,0,1069,0,0,1,1,40,2,0,1,8,1,0,0,0,12,16.875,45079,137865,182944,40,1
7,4,2,392,3759,7194,2,6,3,0,3360,0,0,400,2960,0,3360,0,0,0,400,0,0,0,2960,0,3360,0,0,0,400,0,0,0,2960,0,0,1,1,60,0,1,0,2,1,1,0,0,24,59.5,24547,33028.56026,57575.56026,60,59
8,0,2,3275,2086,19878,1,5,4,1,748,0,0,0,748,748,0,0,0,0,0,0,0,748,0,299,748,0,0,0,0,0,0,0,748,0,0,0,1,37,0,0,0,4,1,0,0,0,17,29.75,67824,62348.51772,130172.5177,37,8
9,4,2,540,3278,20718,7,9,3,1,5040,0,0,400,4640,4640,400,0,0,0,400,0,0,4640,0,4640,400,0,0,0,400,0,0,4640,0,0,0,0,2,50,2,1,0,4,1,0,0,0,23,27.5,70690,31411,102101,50,8
10,0,3,4409,1718,7688,4,7,3,0,2549,0,0,0,2549,2549,0,0,0,0,0,0,0,2549,0,2549,0,0,0,0,0,0,0,2549,0,0,0,0,2,39,2,0,0,1,1,0,0,0,23,39,26232,54213.82602,80445.82602,39,1
11,0,5,3277,1511,11415,2,6,1,1,1725,0,0,0,1725,1725,0,0,0,0,0,0,0,1725,0,1725,0,0,0,0,0,0,0,1725,0,0,0,0,1,25,2,1,1,3,1,0,0,0,7,18.66666667,38948,29154.12312,68102.12312,25,1
12,0,2,5267,1145,12686,3,6,2,1,4500,0,1350,0,3150,3150,1350,0,0,0,0,0,1350,3150,0,4500,1350,0,0,0,0,0,1350,3150,0,0,0,1,1,36,1,1,0,5,1,1,0,0,17,29.4,43285,187998,231283,36,5
13,4,5,1306,2130,6438,1,8,1,1,832,0,0,0,832,832,0,0,0,0,0,0,0,832,0,832,0,0,0,0,0,0,0,832,0,0,0,1,1,61,1,0,0,1,0,0,0,1,3,61,21966,11351.53401,33317.53401,61,36
14,4,2,552,3425,27890,7,5,1,0,2294,0,0,400,1894,1894,400,0,0,0,400,0,0,1894,0,1894,400,0,0,0,400,0,0,1894,0,0,0,0,1,56,0,1,0,3,1,0,0,0,12,45.33333333,95161,32833.85104,127994.851,56,24
15,2,3,1097,853,7424,4,6,1,0,1740,0,0,0,1740,0,1740,0,0,0,0,0,0,0,1740,0,1740,0,0,0,0,0,0,0,1740,0,0,1,2,28,2,1,1,5,1,0,0,0,23,20,25331,34344.58648,59675.58648,28,11
16,0,2,3429,2137,23908,3,9,4,0,1566,0,0,0,1566,1566,0,0,0,0,0,0,0,1566,0,1566,0,0,0,0,0,0,0,1566,0,0,0,1,1,49,2,1,0,2,1,0,0,0,18,52.5,81574,45946.73059,127520.7306,49,56
17,0,4,5356,1055,4327,7,4,1,1,429,0,0,0,429,429,0,0,0,0,0,0,0,429,0,286,429,0,0,0,0,0,0,0,429,0,0,0,1,59,1,0,0,1,0,1,0,1,9,59,14764,90382,105146,59,4
18,2,2,1078,701,6288,4,2,1,1,3283,0,0,400,2883,2883,400,0,0,0,400,0,0,2883,0,0,3283,0,0,0,400,0,0,0,2883,0,0,0,1,54,2,1,0,2,1,0,0,0,24,55.5,21455,84995,106450,54,57
19,2,3,2040,99,1951,4,5,1,1,2060,0,553,400,1107,1107,953,0,0,0,400,0,553,1107,0,0,2060,0,0,0,400,0,553,0,1107,0,0,1,2,82,1,0,0,1,0,1,0,0,10,82,6657,46099,52756,82,8
20,0,2,5590,1275,17256,2,2,2,1,1950,975,0,250,725,725,1225,0,975,0,250,0,0,725,0,340,1950,0,975,0,250,0,0,0,725,0,0,1,1,27,1,1,0,4,0,0,1,1,4,15,58878,51928,110806,27,5
21,0,2,5402,1314,13441,4,8,3,1,5334,2100,0,400,2834,4409,925,1575,525,0,400,0,0,2834,0,4934,925,1575,525,0,400,0,0,2834,0,1,0,1,2,79,1,1,0,2,1,1,0,0,24,73,45861,159289,205150,79,67
22,2,2,2067,1808,2254,2,2,4,1,1360,0,0,0,1360,1020,340,0,0,0,0,0,0,1020,340,0,1360,0,0,0,0,0,0,0,1360,0,0,1,2,48,1,0,1,2,0,1,1,1,4,67,7691,36427,44118,48,86
23,2,2,2148,227,6971,4,3,1,1,1967,0,0,0,1967,1967,0,0,0,0,0,0,0,1967,0,1967,0,0,0,0,0,0,0,1967,0,0,0,1,2,49,2,1,0,7,1,1,0,0,24,29.57142857,23785,74500,98285,49,6
24,0,2,4597,1143,22210,1,4,1,1,5440,2320,0,400,2720,1088,4352,0,2320,0,400,0,0,1088,1632,1805,4466,0,2320,0,400,0,0,974,1746,0,0,1,2,84,1,1,0,2,0,1,0,0,18,84,75781,52582,128363,84,84
25,0,2,5545,1032,18021,3,2,3,1,5164,966,1023,400,2775,3499,1665,725,242,0,400,0,1023,2775,0,4764,2389,0,966,0,400,0,1023,2775,0,0,0,1,2,37,2,1,0,4,1,0,0,0,24,20.25,61488,170917,232405,37,2
26,0,2,3274,2087,11962,1,5,3,1,1302,0,0,400,902,902,400,0,0,0,400,0,0,902,0,902,400,0,0,0,400,0,0,902,0,0,0,1,2,61,0,0,0,4,1,0,0,0,14,36.5,40814,51704,92518,61,4
27,2,2,2592,1495,12024,4,7,1,1,2460,0,0,400,2060,2060,400,0,0,0,400,0,0,2060,0,2060,400,0,0,0,400,0,0,2060,0,0,0,0,2,51,2,1,0,2,1,0,0,0,18,50.5,41024,47128,88152,51,50
28,0,1,7266,840,12713,3,6,3,1,1750,0,0,0,1750,1167,583,0,0,0,0,0,0,1167,583,584,1166,0,0,0,0,0,0,584,1166,0,0,1,1,68,1,0,0,1,0,1,0,0,6,68,43377,103312,146689,68,17
29,0,2,6298,862,18488,9,12,3,1,3596,1598,0,400,1598,3196,400,1598,0,0,400,0,0,1598,0,3196,400,1598,0,0,400,0,0,1598,0,0,0,1,1,25,1,1,0,6,1,0,0,0,11,11.66666667,63081,41675,104756,25,1
30,0,2,4504,988,6030,4,7,1,1,1280,0,0,0,1280,1280,0,0,0,0,0,0,0,1280,0,0,1280,0,0,0,0,0,0,0,1280,0,0,1,1,36,1,1,1,6,0,0,0,1,8,19.33333333,20574,72133,92707,36,4
31,0,2,6319,949,7558,2,4,2,1,2060,754,0,250,1056,1810,250,754,0,0,250,0,0,1056,0,1810,1004,0,754,0,250,0,0,1056,0,0,0,1,1,60,1,0,0,1,0,1,0,0,8,60,25788,83343.24441,109131.2444,60,53
32,0,5,5153,1305,3997,1,7,3,1,1058,0,0,0,1058,1058,0,0,0,0,0,0,0,1058,0,529,1058,0,0,0,0,0,0,0,1058,0,0,0,1,44,2,0,0,3,1,0,1,0,4,24.66666667,13638,54493.93884,68131.93884,44,14
33,0,2,7818,671,8591,2,11,4,1,6138,2046,0,400,3692,5738,400,2046,0,0,400,0,0,3692,0,5738,400,2046,0,0,400,0,0,3692,0,0,0,0,1,59,1,1,0,2,1,1,0,0,17,59,29314,38560,67874,59,59
34,0,2,5317,1179,26737,3,3,3,1,5516,1278,1080,400,2758,2758,2758,0,1278,0,400,0,1080,2758,0,1279,5516,0,1278,0,400,0,1080,0,2758,0,0,1,1,51,2,1,0,4,1,0,0,0,18,34.75,91227,120024.5314,211251.5314,51,16
35,0,2,5440,944,10518,1,4,3,1,2460,0,459,400,1601,1601,859,0,0,0,400,0,459,1601,0,0,2460,0,0,0,400,0,459,0,1601,0,0,0,1,37,2,1,0,4,1,0,0,0,24,21,35887,102694,138581,37,5
36,2,2,1369,271,6423,4,1,2,1,1082,0,0,0,1082,1082,0,0,0,0,0,0,0,1082,0,0,1082,0,0,0,0,0,0,0,1082,0,0,0,2,41,2,0,0,3,1,0,0,0,24,20,21915,51347,73262,41,8
37,3,2,1859,3018,24102,1,6,1,0,2500,0,0,400,2100,2100,400,0,0,0,400,0,0,2100,0,2100,400,0,0,0,400,0,0,2100,0,1,0,0,2,41,2,1,0,4,1,0,0,0,14,25.25,82236,55253.04257,137489.0426,41,11
38,0,5,7129,511,15017,3,12,1,0,1460,0,0,0,1460,1460,0,0,0,0,0,0,0,1460,0,487,1460,0,0,0,0,0,0,0,1460,0,0,0,1,31,2,0,0,2,1,0,0,0,14,17.5,51238,63820.64148,115058.6415,31,4
39,2,2,1256,1632,9455,4,4,1,1,1250,0,0,0,1250,1250,0,0,0,0,0,0,0,1250,0,1250,0,0,0,0,0,0,0,1250,0,0,0,0,2,44,2,1,0,4,1,0,0,0,13,28,32260,71824,104084,44,10
40,2,2,1706,1416,6141,4,6,2,1,2352,0,0,400,1952,1115,1237,0,0,0,400,0,0,1115,837,0,2352,0,0,0,400,0,0,0,1952,0,0,0,1,52,2,1,0,2,1,0,0,0,23,52,20953,47849,68802,52,52
41,0,2,3011,2172,20702,1,9,4,0,7757,0,2484,0,5273,5273,2484,0,0,0,0,0,2484,5273,0,7757,2484,0,0,0,0,0,2484,5273,0,0,0,1,2,53,1,0,0,2,0,1,0,0,17,33.5,70635,70237.58334,140872.5833,53,14
42,2,2,2120,1387,6593,4,5,1,1,1397,0,0,0,1397,279,1118,0,0,0,0,0,0,279,1118,838,1397,0,0,0,0,0,0,0,1397,0,0,0,2,26,0,0,0,2,1,0,0,0,6,24.5,22495,25313,47808,26,23
43,0,2,5788,900,11846,2,4,2,0,5208,1736,1736,0,1736,2170,3038,434,1302,0,0,0,1736,1736,0,744,5208,0,1736,0,0,0,1736,0,1736,1,0,0,1,47,2,1,0,4,1,0,0,0,16,30.75,40419,112597.8821,153016.8821,47,13
44,0,5,5760,923,3308,1,1,1,1,637,0,0,0,637,637,0,0,0,0,0,0,0,637,0,0,637,0,0,0,0,0,0,0,637,0,0,1,2,79,1,0,0,1,0,1,0,0,4,79,11287,6689,17976,79,2
45,0,3,5658,1139,14408,6,1,1,1,5440,1360,0,0,4080,4760,680,680,680,0,0,0,0,4080,0,5440,1360,0,1360,0,0,0,0,4080,0,0,0,1,2,63,1,0,1,5,0,1,0,0,8,32.8,49160,106608.5585,155768.5585,63,20
46,2,5,1093,865,11649,4,5,2,1,830,0,0,0,830,623,208,0,0,0,0,0,0,623,208,0,830,0,0,0,0,0,0,0,830,0,0,0,1,58,2,0,0,1,1,0,0,0,7,58,39744,7546.76411,47290.76411,58,12
47,0,2,6202,721,5869,2,1,1,1,4045,945,945,0,2155,2155,1890,0,945,0,0,0,945,2155,0,1156,4045,0,945,0,0,0,945,0,2155,0,0,0,2,53,2,1,0,2,1,0,0,0,23,49.5,20025,8952,28977,53,46
48,1,5,4878,1283,4410,1,1,1,1,1216,0,0,0,1216,1216,0,0,0,0,0,0,0,1216,0,1216,1216,0,0,0,0,0,0,0,1216,0,0,0,2,58,2,0,1,1,1,0,0,0,23,58,15047,73577,88624,58,46
49,0,4,4338,1317,8117,1,9,1,1,955,0,0,0,955,955,0,0,0,0,0,0,0,955,0,955,0,0,0,0,0,0,0,955,0,0,0,1,2,22,0,0,0,2,0,0,0,0,4,22,27695,34659.49184,62354.49184,22,22
50,0,2,4627,1508,9281,3,6,2,0,2304,1152,0,400,752,1904,400,1152,0,0,400,0,0,752,0,1904,1552,0,1152,0,400,0,0,752,0,0,0,1,2,70,1,1,0,2,0,1,0,0,8,70,31668,66613.43089,98281.43089,70,70
51,0,4,5870,560,4383,2,6,2,1,594,0,0,0,594,594,0,0,0,0,0,0,0,594,0,0,594,0,0,0,0,0,0,0,594,0,0,1,1,26,1,0,1,4,0,0,1,1,5,10.5,14955,75220,90175,26,2
52,2,2,912,1370,7659,4,7,1,1,2584,0,0,400,2184,1492,1092,0,0,400,0,0,0,1092,1092,746,1838,0,0,0,400,0,0,746,1438,0,0,0,2,31,2,1,1,4,1,0,0,0,24,19,26133,43938,70071,31,2
53,0,2,4920,1559,5398,3,2,1,1,1147,0,0,250,897,179,968,0,0,0,250,0,0,179,718,179,1147,0,0,0,250,0,0,0,897,0,0,1,2,56,2,1,0,2,1,0,0,0,7,54,18418,15023,33441,56,52
54,2,5,1234,1090,1945,4,6,1,1,524,0,0,0,524,0,524,0,0,0,0,0,0,0,524,524,524,0,0,0,0,0,0,0,524,0,0,1,1,27,1,1,1,2,1,0,0,0,6,27.5,6636,19364,26000,27,28
55,0,5,2138,2185,14295,1,9,3,0,552,0,0,0,552,552,0,0,0,0,0,0,0,552,0,552,0,0,0,0,0,0,0,552,0,0,0,1,1,42,1,0,0,2,0,0,1,1,5,27.5,48775,21198.75,69973.75,42,13
56,0,2,4972,1496,5485,3,3,1,1,3839,563,1638,0,1638,1638,2201,0,563,0,0,0,1638,1638,0,3839,2201,0,563,0,0,0,1638,1638,0,0,0,1,2,73,1,0,0,1,0,1,0,0,10,73,18715,69046,87761,73,8
57,0,2,7974,587,9377,3,9,1,1,2736,1368,0,400,968,2302,434,1334,34,0,400,0,0,968,0,2336,434,1334,34,0,400,0,0,968,0,0,0,0,2,47,2,1,0,3,1,0,0,0,24,35.33333333,31994,91272,123266,47,7
58,0,2,5571,900,28540,2,8,3,1,9243,3654,0,650,4939,8593,650,3654,0,0,650,0,0,4939,0,8593,4304,0,3654,0,650,0,0,4939,0,0,0,0,2,60,2,1,0,2,1,1,0,0,19,59,97378,160936,258314,60,58
59,1,2,6602,898,10174,1,3,2,1,4450,1375,850,400,1825,4050,400,1375,0,0,400,850,0,1825,0,4050,400,1375,0,0,400,850,0,1825,0,0,0,1,1,70,1,1,0,3,1,1,0,0,14,69.33333333,34714,119055,153769,70,65
60,0,2,8001,565,14365,3,9,4,0,4352,1234,0,650,2468,3702,650,1234,0,0,650,0,0,2468,0,1114,3609,0,1234,0,650,0,0,743,1725,0,0,1,2,54,2,1,0,2,1,0,0,0,24,53.5,49013,113444.9204,162457.9204,54,53
61,0,2,6372,585,4529,1,1,1,1,1186,0,0,250,936,936,250,0,0,0,250,0,0,936,0,375,1186,0,0,0,250,0,0,0,936,0,0,1,1,77,1,0,0,1,0,1,0,0,5,77,15453,66576,82029,77,19
62,0,2,6793,707,5740,3,5,4,1,2080,790,0,250,1040,1633,448,593,198,0,250,0,0,1040,0,366,2080,0,790,0,250,0,0,0,1040,0,0,0,1,54,2,1,0,2,1,0,0,0,18,54,19585,42395,61980,54,54
63,0,1,4055,947,5012,3,3,3,0,524,0,0,0,524,524,0,0,0,0,0,0,0,524,0,131,524,0,0,0,0,0,0,0,524,0,0,1,1,83,1,0,0,2,1,1,1,1,10,59.5,17101,81510.89449,98611.89449,83,36
64,1,2,6656,931,3559,2,1,2,0,3564,891,891,0,1782,668,2896,0,891,0,0,0,891,668,1114,891,3564,0,891,0,0,0,891,0,1782,0,0,0,2,46,2,1,0,3,1,0,0,0,19,31.33333333,12143,105487.4084,117630.4084,46,17
65,0,2,1505,2650,15482,1,6,1,0,2123,0,0,400,1723,1723,400,0,0,0,400,0,0,1723,0,1723,400,0,0,0,400,0,0,1723,0,0,0,0,2,25,2,0,0,3,1,0,0,0,23,24.66666667,52825,54406.30014,107231.3001,25,23
66,0,5,7607,489,4055,2,4,2,1,430,0,0,0,430,430,0,0,0,0,0,0,0,430,0,0,430,0,0,0,0,0,0,0,430,0,0,0,1,47,2,0,0,1,1,0,0,0,7,47,13836,47274,61110,47,2
67,0,2,6791,791,7504,3,2,1,1,2704,704,648,0,1352,1127,1577,0,704,0,0,0,648,1127,225,0,2704,0,704,0,0,0,648,0,1352,0,0,0,2,23,2,1,0,4,1,0,0,1,10,12,25604,172254,197858,23,1
68,4,2,1214,2523,26805,2,7,1,0,1584,0,792,0,792,792,792,0,0,0,0,0,792,792,0,1584,792,0,0,0,0,0,792,792,0,0,0,1,1,31,1,1,0,6,1,0,1,1,8,13.16666667,91459,52376.29914,143835.2991,31,3
69,0,3,5752,1049,15112,1,4,1,1,3221,588,588,0,2045,877,2345,0,588,0,0,0,588,877,1169,460,3221,0,588,0,0,0,588,0,2045,0,0,1,1,30,2,0,0,6,1,0,0,1,3,12.5,51563,102371.835,153934.835,30,2
70,1,4,4974,1259,3333,1,4,1,1,437,0,0,0,437,437,0,0,0,0,0,0,0,437,0,0,437,0,0,0,0,0,0,0,437,0,0,0,2,38,2,0,1,1,1,0,0,0,8,38,11371,57662,69033,38,7
71,0,1,4332,402,11310,2,8,2,0,1352,0,0,0,1352,1352,0,0,0,0,0,0,0,1352,0,1352,0,0,0,0,0,0,0,1352,0,0,0,0,1,70,0,0,0,1,1,1,0,0,8,70,38590,52844.36545,91434.36545,70,4
72,0,2,703,4246,22502,4,6,3,0,2253,0,0,400,1853,1853,400,0,0,0,400,0,0,1853,0,1853,400,0,0,0,400,0,0,1853,0,0,0,0,1,54,2,0,0,1,1,0,0,0,12,54,76777,27032.88605,103809.8861,54,11
73,0,4,4811,1418,23740,1,3,2,1,1022,68,0,0,955,1005,17,51,17,0,0,0,0,955,0,1022,17,51,17,0,0,0,0,955,0,0,0,1,1,41,2,1,1,5,1,0,0,0,22,26,81001,71810,152811,41,4
74,0,2,6678,770,17349,2,6,1,0,2970,990,0,250,1730,2720,250,990,0,0,250,0,0,1730,0,2720,1240,0,990,0,250,0,0,1730,0,0,0,1,1,73,1,0,0,1,0,1,0,0,5,73,59195,88331.50673,147526.5067,73,50
75,4,2,701,3321,23355,7,6,1,0,2074,0,0,400,1674,1674,400,0,0,0,400,0,0,1674,0,1674,400,0,0,0,400,0,0,1674,0,0,0,0,1,50,0,1,0,4,1,0,0,0,12,28,79687,35030.17005,114717.1701,50,7
76,0,2,6908,843,8022,4,1,1,1,2178,696,0,0,1482,2178,0,696,0,0,0,0,0,1482,0,1307,2178,0,696,0,0,0,0,0,1482,0,0,1,1,78,1,0,0,2,1,1,0,0,7,60.5,27371,168550,195921,78,43
77,0,2,7476,722,3007,3,2,3,0,2574,858,858,0,858,858,1716,0,858,0,0,0,858,858,0,0,2574,0,858,0,0,0,858,0,858,0,0,1,1,74,1,0,0,1,1,1,0,0,5,74,10260,95450.58486,105710.5849,74,51
78,4,2,172,4281,24902,7,7,1,0,4028,0,2014,400,1614,1614,2414,0,0,0,400,0,2014,1614,0,3628,2414,0,0,0,400,0,2014,1614,0,0,0,0,2,35,2,1,0,4,1,0,0,0,23,19.75,84965,39835.33466,124800.3347,35,4
79,0,3,4230,1750,5183,1,1,1,1,2210,675,0,0,1535,1535,675,0,675,0,0,0,0,1535,0,1024,1499,0,675,0,0,0,0,711,824,0,0,0,2,52,2,0,0,1,1,0,0,0,24,52,17684,49186,66870,52,4
80,3,2,1451,2606,20650,4,9,1,1,5040,0,1680,400,2960,2960,2080,0,0,0,400,0,1680,2960,0,4640,2080,0,0,0,400,0,1680,2960,0,0,0,1,2,32,2,1,0,4,1,0,0,0,23,17.75,70458,42498,112956,32,1
81,0,2,6121,1065,10526,3,4,2,1,5244,1748,1748,0,1748,3496,1748,1748,0,0,0,0,1748,1748,0,5244,3496,0,1748,0,0,0,1748,1748,0,0,0,0,1,44,2,0,0,3,1,0,0,0,11,25,35915,118335,154250,44,15
82,0,4,5051,1480,6543,2,1,2,1,550,0,0,0,550,550,0,0,0,0,0,0,0,550,0,0,550,0,0,0,0,0,0,0,550,0,0,0,1,37,2,1,1,2,1,0,0,0,9,31.5,22324,31157,53481,37,26
83,0,2,6039,1112,6517,3,6,1,1,1508,0,0,250,1258,1258,250,0,0,0,250,0,0,1258,0,1258,250,0,0,0,250,0,0,1258,0,0,0,1,1,86,1,0,0,1,0,1,0,0,6,86,22236,64004,86240,86,43
84,0,2,4651,105,8946,2,5,1,1,2428,0,0,400,2028,2028,400,0,0,0,400,0,0,2028,0,0,2428,0,0,0,400,0,0,0,2028,0,0,0,1,43,2,1,0,3,1,0,0,0,15,33,30524,31307,61831,43,14
85,0,5,5733,1460,1749,1,5,3,1,359,0,0,0,359,359,0,0,0,0,0,0,0,359,0,359,359,0,0,0,0,0,0,0,359,0,0,1,2,46,0,0,0,1,1,1,0,0,3,46,5968,36541,42509,46,38
86,0,2,5834,962,8549,2,1,4,1,5936,896,1680,400,2960,2960,2976,0,896,0,400,0,1680,2960,0,0,5936,0,896,0,400,0,1680,0,2960,1,0,0,1,48,2,1,0,3,1,0,0,0,16,40,29169,118065.9528,147234.9528,48,11
87,0,4,6028,855,11730,3,1,1,1,1406,0,0,0,1406,1406,0,0,0,0,0,0,0,1406,0,402,1406,0,0,0,0,0,0,0,1406,0,0,0,1,34,2,1,0,5,1,0,0,0,9,17,40023,29224,69247,34,1
88,0,2,6022,1071,6992,3,4,1,1,660,0,0,0,660,660,0,0,0,0,0,0,0,660,0,660,0,0,0,0,0,0,0,660,0,0,0,1,1,55,1,1,0,2,0,1,0,0,6,55,23857,85304,109161,55,55
89,0,3,5253,1577,9496,1,6,1,1,1585,500,0,250,835,1085,500,250,250,0,250,0,0,835,0,334,1585,0,500,0,250,0,0,0,835,0,0,0,1,26,1,0,0,2,1,0,0,1,23,14,32400,77998,110398,26,2
90,2,5,2144,1415,6592,2,5,2,1,773,0,0,0,773,0,773,0,0,0,0,0,0,0,773,193,773,0,0,0,0,0,0,0,773,0,0,0,2,43,2,0,0,2,1,0,0,0,18,29.5,22492,8335,30827,43,16
91,0,4,5569,764,6087,1,5,3,0,858,0,0,0,858,858,0,0,0,0,0,0,0,858,0,0,858,0,0,0,0,0,0,0,858,0,0,0,1,26,2,1,0,2,1,0,0,0,10,28,20769,53611.71045,74380.71045,26,30
92,1,4,4836,1346,5450,1,1,1,1,666,0,0,0,666,666,0,0,0,0,0,0,0,666,0,333,666,0,0,0,0,0,0,0,666,0,0,1,1,35,1,1,1,5,0,0,0,0,4,19.8,18595,11936,30531,35,2
93,0,2,4644,1625,25254,3,7,4,0,4892,2400,0,400,2092,4492,400,2400,0,0,400,0,0,2092,0,4492,400,2400,0,0,400,0,0,2092,0,0,0,0,1,53,1,1,0,3,1,0,0,0,22,42.66666667,86167,84709.48099,170876.481,53,25
94,0,1,4284,893,13444,3,5,4,0,832,0,0,0,832,832,0,0,0,0,0,0,0,832,0,166,832,0,0,0,0,0,0,0,832,0,0,1,1,42,1,0,0,2,0,0,1,0,5,28,45871,62243.49176,108114.4918,42,14
95,0,5,3133,1387,8545,1,5,1,1,1843,0,0,0,1843,1843,0,0,0,0,0,0,0,1843,0,1843,0,0,0,0,0,0,0,1843,0,0,0,0,1,24,2,0,0,1,0,0,0,0,9,24,29156,32535.54534,61691.54534,24,41
96,0,2,1921,2768,34041,1,5,4,0,1296,0,0,0,1296,1296,0,0,0,0,0,0,0,1296,0,1296,0,0,0,0,0,0,0,1296,0,0,0,1,2,77,1,1,0,2,0,1,1,0,5,75.5,116148,37337.31245,153485.3125,77,74
97,3,2,1264,3264,18585,1,12,3,1,5254,0,2627,650,1977,1977,3277,0,0,0,650,0,2627,1977,0,4604,2627,0,0,650,0,0,2627,1977,0,1,0,0,2,36,2,1,0,2,1,0,0,0,24,36,63412,57521,120933,36,36
98,2,2,1060,964,9483,4,4,1,1,1739,0,0,400,1339,446,1293,0,0,0,400,0,0,446,893,0,1739,0,0,0,400,0,0,0,1339,0,1,1,1,30,2,0,1,4,1,0,0,0,7,32.75,32356,24593,56949,30,12
99,0,3,4283,1710,6686,1,2,1,1,1847,560,0,0,1287,1287,560,0,560,0,0,0,0,1287,0,616,1847,0,560,0,0,0,0,0,1287,0,0,1,1,56,0,0,0,3,0,0,0,0,2,71.33333333,22812,167007,189819,56,77
100,0,2,7687,664,9700,3,9,3,1,3714,1178,0,650,1886,3714,0,1178,0,650,0,0,0,1886,0,3064,0,1178,0,650,0,0,0,1886,0,0,0,1,1,32,0,1,0,4,1,0,0,0,20,20.25,33096,98990,132086,32,7
101,0,2,5019,1314,9347,1,3,3,1,2430,1215,0,0,1215,2430,0,1215,0,0,0,0,0,1215,0,2430,0,1215,0,0,0,0,0,1215,0,0,0,1,1,36,2,1,0,3,1,0,0,0,24,24.33333333,31892,78821,110713,36,2
102,1,2,7578,787,10407,3,11,4,0,5772,1924,0,250,3598,5522,250,1924,0,0,250,0,0,3598,0,5522,2174,0,1924,0,250,0,0,3598,0,0,0,0,2,46,2,1,0,4,1,0,0,0,23,32.5,35509,107244.066,142753.066,46,13
103,0,2,3167,2105,32270,6,9,3,1,8906,0,2440,650,5816,5816,3090,0,0,0,650,0,2440,5816,0,8256,3090,0,0,0,650,0,2440,5816,0,0,0,1,1,54,2,0,0,4,1,0,0,0,24,32,110105,123583,233688,54,14
104,2,2,1350,292,4459,2,2,1,1,4170,0,2085,250,1835,1223,2947,0,0,0,250,0,2085,1223,612,0,4170,0,0,0,250,0,2085,0,1835,0,0,1,1,66,1,0,0,1,0,1,0,0,8,66,15214,46202,61416,66,8
105,3,2,562,4312,16675,2,4,1,1,704,0,0,0,704,141,563,0,0,0,0,0,0,141,563,282,704,0,0,0,0,0,0,0,704,0,0,1,1,64,2,1,1,6,1,1,1,0,14,39.66666667,56894,29224,86118,64,6
106,0,2,5643,671,6225,3,4,1,1,1653,0,525,0,1128,1128,525,0,0,0,0,0,525,1128,0,551,1653,0,0,0,0,0,525,0,1128,0,0,0,1,30,0,0,0,3,1,0,0,1,9,17.33333333,21240,140253,161493,30,10
107,0,5,4466,1797,4680,4,7,1,1,568,0,0,0,568,568,0,0,0,0,0,0,0,568,0,568,0,0,0,0,0,0,0,568,0,0,0,0,2,24,2,0,0,1,1,0,0,0,10,24,15968,20374,36342,24,8
108,2,2,956,761,12795,4,8,3,1,2636,0,0,400,2236,1917,719,0,0,0,400,0,0,1917,319,1030,1606,0,0,0,400,0,0,1030,1206,0,0,0,1,41,2,1,0,2,1,0,0,0,20,45,43657,52891,96548,41,49
