DOEID,LRGSTATE,TYPEHUQ,HD65,CD65,KWH,BTUEL,CUFEETNG,BTUNG,GALLONFO,BTUFO,GALLONLP,BTULP,GALLONKR,BTUKER,BTUELCDR,BTUELDWH,BTUELFZZ,BTUELRFG,BTUELCOL,BTUELWTH,BTUELSPH,BTUELAPL,BTUNGAPL,BTUNGWTH,BTUNGSPH,BTUFOAPL,BTUFOSPH,BTUFOWTH,BTULPAPL,BTULPSPH,BTULPWTH,BTUWOOD,ALTHUQ,WALLTYPE,YEARMADE,URBRUR,UGASHERE,TOTSQFT,TOTBASESQFT,TOTATTCSQFT,TOTGARGSQFT,TOTRHMSQFT,TOTHSQFT,TOTUSQFT,BASHSQFT,BASUSQFT,GARHSQFT,GARUSQFT,ATTHSQFT,ATTUSQFT,RHMHSQFT,RHMUSQFT,TOTCSQFT,TOTUCSQFT,BASCSQFT,BASUCSQFT,GARCSQFT,GARUCSQFT,ATTCSQFT,ATTUCSQFT,RHMCSQFT,RHMUCSQFT,HBUSNESS,OTHWORK,ATHOME,HHSEX,HHAGE,EMPLOYHH,SPOUSE,SDESCENT,NHSLDMEM,AGEHHMEM1,AGEHHMEM2,AGEHHMEM3,AGEHHMEM4,AGEHHMEM5,AGEHHMEM6,AGEHHMEM7,AGEHHMEM8,AGEHHMEM9,AGEHHMEM10,AGEHHMEM11,AGEHHMEM12,AGEHHMEMY,WORKPAY,RETIREPY,CASHBEN,NCASHBEN,MONEYPY
1823,0,2,6034,1222,10337,35270,887,91272,999999,9999999,999999,9999999,999999,9999999,3664,0,0,12771,4533,0,0,17966,6772,22322,62178,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9,1,5,2,1,3178,1026,1026,0,1126,1895,1283,770,257,0,0,0,1026,1126,0,3178,2052,0,1026,0,0,0,1026,1126,0,0,0,0,2,56,2,1,1,5,56,50,21,19,99,99,99,99,99,99,99,99,14,0,0,0,0,12
1824,0,5,5862,1296,5542,18910,451,46408,999999,9999999,999999,9999999,999999,9999999,0,0,0,1079,4144,7119,0,6568,6834,0,39574,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9,1,6,1,1,881,0,0,0,881,881,0,0,0,0,0,0,0,881,0,441,881,0,0,0,0,0,0,0,881,0,0,0,1,30,1,1,1,4,30,30,11,99,99,99,99,99,99,99,99,99,4,1,0,0,0,5
1825,0,2,5871,935,45710,155963,999999,9999999,999999,9999999,108,9898,999999,9999999,14914,1364,0,20656,5514,17802,29556,82435,9999999,9999999,9999999,9999999,9999999,9999999,0,9898,0,9999999,9,4,5,4,0,3624,725,725,0,2174,2899,725,725,0,0,0,0,725,2174,0,1812,3624,0,725,0,0,0,725,0,2174,0,0,1,1,62,1,1,0,2,62,99,99,99,99,99,99,99,99,99,99,99,64,0,1,0,0,5
1826,0,2,10737,1,5791,19759,1387,142722,999999,9999999,999999,9999999,999999,9999999,3871,0,0,6746,0,0,0,13013,5853,24039,112830,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9,2,8,1,1,1950,0,0,400,1550,1950,0,0,0,400,0,0,0,1550,0,0,1950,0,0,0,400,0,0,0,1550,0,0,0,2,56,2,1,0,2,56,99,99,99,99,99,99,99,99,99,99,99,56,1,0,0,0,11
1827,0,2,4669,1402,11866,40487,63,6471,477,66155,999999,9999999,999999,9999999,0,0,5903,6995,4525,8874,2186,17907,6471,0,0,0,66155,0,9999999,9999999,9999999,9999999,9,3,1,4,1,3490,999,1215,0,1276,1593,1897,500,500,0,0,0,1215,1093,182,997,3490,0,999,0,0,0,1215,0,1276,0,0,1,2,38,0,1,0,2,38,99,99,99,99,99,99,99,99,99,99,99,38,1,0,0,0,10
1828,1,5,5410,1215,2708,9240,692,71225,999999,9999999,999999,9999999,999999,9999999,0,0,0,2571,0,0,0,6669,11143,0,60082,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9,1,9,2,1,740,0,0,0,740,740,0,0,0,0,0,0,0,740,0,0,740,0,0,0,0,0,0,0,740,0,0,0,2,24,2,1,1,3,24,28,99,99,99,99,99,99,99,99,99,99,21,1,0,0,0,14
1829,0,2,6799,228,3871,13208,848,87259,999999,9999999,999999,9999999,999999,9999999,0,367,3187,1873,0,0,0,11335,6386,19351,61522,9999999,9999999,9999999,9999999,9999999,9999999,80000,9,4,1,2,1,2607,252,0,0,2355,1832,775,0,252,0,0,0,0,1832,523,0,2607,0,252,0,0,0,0,0,2355,0,0,1,1,67,1,1,0,2,67,99,99,99,99,99,99,99,99,99,99,99,67,0,1,0,0,15
1830,0,1,2392,2222,2428,8284,294,30271,999999,9999999,999999,9999999,999999,9999999,0,0,0,1619,3156,0,690,2819,3572,6793,19906,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9,3,7,3,1,812,0,0,0,812,812,0,0,0,0,0,0,0,812,0,277,535,0,0,0,0,0,0,277,535,0,0,1,2,43,2,0,0,1,43,99,99,99,99,99,99,99,99,99,99,99,99,1,0,0,0,13
1831,0,2,1147,5059,18782,64084,999999,9999999,999999,9999999,999999,9999999,999999,9999999,4807,440,0,5736,24811,7396,2149,23992,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,20000,9,9,5,2,0,2380,0,0,400,1980,1980,400,0,0,0,400,0,0,1980,0,1980,400,0,0,0,400,0,0,1980,0,1,0,1,2,67,2,1,0,2,67,99,99,99,99,99,99,99,99,99,99,99,53,1,1,0,0,14
1832,0,2,7244,802,7923,27033,433,44556,999999,9999999,999999,9999999,999999,9999999,0,654,5680,3836,2221,0,0,20976,6666,12843,25047,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9,2,7,1,1,2756,1378,0,250,1128,752,2004,0,1378,0,250,0,0,752,376,856,2371,0,1378,0,250,0,0,385,743,1,0,0,2,34,2,1,0,2,34,99,99,99,99,99,99,99,99,99,99,99,34,1,0,0,0,22
1833,0,3,4296,1692,4068,13880,971,99869,999999,9999999,999999,9999999,999999,9999999,0,0,0,4041,0,0,0,9839,5894,24209,69766,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9,1,3,1,1,1883,576,0,0,1307,1451,432,144,432,0,0,0,0,1307,0,0,1883,0,576,0,0,0,0,0,1307,0,0,1,1,65,1,0,1,2,65,99,99,99,99,99,99,99,99,99,99,99,65,0,0,1,1,4
1834,0,5,5094,999,6832,23309,999999,9999999,999999,9999999,648,59222,999999,9999999,0,784,0,4292,7503,0,0,11514,9999999,9999999,9999999,9999999,9999999,9999999,4428,38288,16506,9999999,9,1,4,2,1,1163,0,0,0,1163,1163,0,0,0,0,0,0,0,1163,0,1163,0,0,0,0,0,0,0,1163,0,0,0,0,1,25,2,0,0,2,25,99,99,99,99,99,99,99,99,99,99,99,25,1,0,0,0,14
1835,0,2,7214,563,3439,11734,884,90964,999999,9999999,999999,9999999,999999,9999999,0,364,0,1578,307,0,0,9849,4188,13737,73039,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9,2,1,3,1,2784,928,928,0,928,1856,928,928,0,0,0,0,928,928,0,557,2784,0,928,0,0,0,928,0,928,1,0,1,2,68,0,0,0,1,68,99,99,99,99,99,99,99,99,99,99,99,99,0,1,0,0,6
1836,3,2,1737,3843,35418,120847,754,77614,999999,9999999,999999,9999999,999999,9999999,4544,759,0,13699,44187,0,0,62961,0,43579,34035,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9,1,8,1,1,8316,0,2772,0,5544,5544,2772,0,0,0,0,0,2772,5544,0,8316,2772,0,0,0,0,0,2772,5544,0,0,0,1,2,44,1,1,0,5,44,41,5,3,99,99,99,99,99,99,99,99,1,0,0,0,0,24
1837,0,2,5727,735,4855,16565,293,30150,999999,9999999,999999,9999999,999999,9999999,2197,367,2512,2009,0,0,0,14556,0,16129,14021,9999999,9999999,9999999,9999999,9999999,9999999,100000,9,1,5,4,1,2700,950,0,400,1350,2300,400,950,0,0,400,0,0,1350,0,0,2700,0,950,0,400,0,0,0,1350,0,0,0,1,67,1,1,0,2,67,99,99,99,99,99,99,99,99,99,99,99,67,1,1,0,0,12
1838,2,5,2338,104,2087,7121,274,28195,999999,9999999,999999,9999999,999999,9999999,0,0,0,2771,0,0,0,4350,0,8698,19497,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9,4,2,1,1,854,0,0,0,854,854,0,0,0,0,0,0,0,854,0,0,854,0,0,0,0,0,0,0,854,0,0,0,1,66,1,0,0,1,66,99,99,99,99,99,99,99,99,99,99,99,99,1,1,0,0,9
1839,0,2,4396,376,3179,10847,244,25108,999999,9999999,999999,9999999,999999,9999999,1724,288,1972,1773,501,0,0,8573,0,9205,15903,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9,3,5,1,1,3344,0,1672,400,1272,1272,2072,0,0,0,400,0,1672,1272,0,2944,2072,0,0,0,400,0,1672,1272,0,0,0,0,2,79,1,1,0,2,79,99,99,99,99,99,99,99,99,99,99,99,72,0,1,0,0,8
1840,0,2,5600,1195,2598,8864,999999,9999999,568,78831,999999,9999999,999999,9999999,0,0,0,3251,0,0,0,5613,9999999,9999999,9999999,0,63246,15585,9999999,9999999,9999999,9999999,9,3,2,3,0,2065,555,555,400,555,555,1510,0,555,0,400,0,555,555,0,0,2065,0,555,0,400,0,555,0,555,0,0,1,1,65,1,0,0,1,65,99,99,99,99,99,99,99,99,99,99,99,99,0,1,0,1,4
1841,0,2,5986,1158,5563,18981,644,66268,999999,9999999,999999,9999999,999999,9999999,1734,507,0,2974,2940,0,0,13067,3853,18893,43522,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9,3,2,1,1,1970,0,735,250,985,985,985,0,0,0,250,0,735,985,0,1720,985,0,0,0,250,0,735,985,0,0,0,0,2,45,1,0,0,2,45,99,99,99,99,99,99,99,99,99,99,99,16,0,0,0,0,6
1842,0,2,4929,1516,22297,76077,1243,127905,999999,9999999,999999,9999999,999999,9999999,3775,631,4316,7507,20177,0,2071,46322,0,45757,82148,9999999,9999999,9999999,9999999,9999999,9999999,5000,9,2,1,3,1,5720,1430,1430,0,2860,4648,1073,715,715,0,0,1073,358,2860,0,5720,1430,715,715,0,0,715,715,2860,0,0,0,1,1,47,1,1,0,7,47,47,16,15,12,9,99,99,99,99,99,99,7,1,0,0,0,23
1843,0,2,6062,433,15983,54534,999999,9999999,999999,9999999,999999,9999999,999999,9999999,4778,0,0,3455,0,14120,13118,23841,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9,2,5,1,0,925,0,0,0,925,925,0,0,0,0,0,0,0,925,0,0,925,0,0,0,0,0,0,0,925,0,0,0,2,28,2,1,1,4,28,27,9,99,99,99,99,99,99,99,99,99,5,1,0,0,0,6
1844,0,2,1644,2482,3630,12386,999999,9999999,999999,9999999,999999,9999999,999999,9999999,1596,0,0,1198,2704,2460,2201,3823,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9,2,9,4,0,768,0,0,0,768,768,0,0,0,0,0,0,0,768,0,512,768,0,0,0,0,0,0,0,768,0,0,0,2,43,2,0,0,1,43,99,99,99,99,99,99,99,99,99,99,99,99,1,0,0,0,6
1845,0,2,7226,325,14753,50336,1130,116277,999999,9999999,172,15699,999999,9999999,2130,623,5408,3836,1242,0,0,45258,0,31331,84946,9999999,9999999,9999999,0,0,15699,9999999,9,3,8,1,1,4320,2160,0,400,1760,3920,400,2160,0,0,400,0,0,1760,0,3920,400,2160,0,0,400,0,0,1760,0,0,0,0,1,47,2,1,0,2,47,99,99,99,99,99,99,99,99,99,99,99,47,1,0,0,0,23
1846,1,2,5503,1125,3818,13027,1665,171329,999999,9999999,999999,9999999,999999,9999999,0,392,0,2416,1616,0,0,8995,16244,31296,123789,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9,2,1,2,1,4512,1128,0,0,3384,4512,0,1128,0,0,0,0,0,3384,0,1692,4512,0,1128,0,0,0,0,0,3384,0,0,1,1,55,1,0,0,2,55,99,99,99,99,99,99,99,99,99,99,99,12,0,0,0,0,13
1847,2,2,2626,1403,20047,68400,1397,143751,999999,9999999,184,16790,999999,9999999,4805,803,5494,13315,10408,0,0,44677,42276,38857,62618,9999999,9999999,9999999,0,0,16790,9999999,9,2,6,4,1,2480,0,0,650,1830,1830,650,0,0,0,650,0,0,1830,0,1830,650,0,0,0,650,0,0,1830,0,0,0,1,2,81,1,0,0,1,81,99,99,99,99,99,99,99,99,99,99,99,99,0,1,0,0,21
1848,0,2,5220,1286,11010,37566,976,100430,999999,9999999,999999,9999999,999999,9999999,0,713,0,6612,8125,0,2425,20404,10636,20491,69303,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9,3,1,1,1,2304,768,0,0,1536,2304,0,768,0,0,0,0,0,1536,0,2304,768,0,768,0,0,0,0,1536,0,0,0,0,1,50,2,1,0,2,50,99,99,99,99,99,99,99,99,99,99,99,50,1,0,0,0,20
1849,0,1,5872,1312,7431,25355,632,65033,999999,9999999,999999,9999999,999999,9999999,3628,0,0,3552,5650,0,0,16153,4482,18408,42143,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9,3,7,1,1,1361,0,0,0,1361,1361,0,0,0,0,0,0,0,1361,0,1361,0,0,0,0,0,0,0,1361,0,0,0,0,2,24,2,1,0,2,24,99,99,99,99,99,99,99,99,99,99,99,24,1,0,0,0,11
1850,2,3,1312,403,9363,31947,479,49251,999999,9999999,999999,9999999,999999,9999999,0,582,3986,6202,1106,0,0,24639,4568,26240,18443,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9,2,7,1,1,2419,0,0,400,2019,2019,400,0,0,0,400,0,0,2019,0,2019,400,0,0,0,400,0,0,2019,0,0,0,1,1,65,1,0,0,1,65,99,99,99,99,99,99,99,99,99,99,99,99,0,1,0,0,12
1851,0,3,5066,1210,13691,46714,999999,9999999,999999,9999999,999999,9999999,999999,9999999,4606,769,0,4211,3391,7098,10975,21039,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9,3,9,3,1,1056,0,0,0,1056,634,422,0,0,0,0,0,0,634,422,422,1056,0,0,0,0,0,0,0,1056,0,0,0,1,47,2,0,0,1,47,99,99,99,99,99,99,99,99,99,99,99,99,1,0,0,0,9
1852,0,2,9518,19,12024,41026,1704,175342,999999,9999999,999999,9999999,999999,9999999,0,600,10422,2730,0,0,0,38296,15875,30511,128956,9999999,9999999,9999999,9999999,9999999,9999999,15000,9,2,4,1,1,2444,1222,0,0,1222,2444,0,1222,0,0,0,0,0,1222,0,0,2444,0,1222,0,0,0,0,0,1222,0,1,1,2,47,2,1,0,5,47,44,20,18,99,99,99,99,99,99,99,99,10,1,0,0,0,17
1853,0,5,3564,1319,17594,60031,999999,9999999,999999,9999999,999999,9999999,999999,9999999,5524,923,0,5051,9195,14745,10658,20382,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9,2,7,1,0,608,0,0,0,608,608,0,0,0,0,0,0,0,608,0,608,0,0,0,0,0,0,0,608,0,0,0,1,1,33,1,1,0,3,33,34,99,99,99,99,99,99,99,99,99,99,3,1,0,0,0,12
1854,0,2,6957,912,5141,17541,460,47334,999999,9999999,999999,9999999,999999,9999999,1734,507,3473,1361,2488,0,0,13692,0,16539,30795,9999999,9999999,9999999,9999999,9999999,9999999,5000,9,2,7,1,1,2880,1440,0,400,1040,1760,1120,720,720,0,400,0,0,1040,0,2480,1120,720,720,0,400,0,0,1040,0,0,0,0,2,34,2,1,0,2,34,99,99,99,99,99,99,99,99,99,99,99,32,1,0,0,0,22
1855,0,5,6824,690,3858,13164,999999,9999999,750,104054,999999,9999999,999999,9999999,0,0,0,3144,1714,0,0,8306,9999999,9999999,9999999,0,79476,24578,9999999,9999999,9999999,9999999,9,1,1,4,1,726,0,0,0,726,726,0,0,0,0,0,0,0,726,0,182,726,0,0,0,0,0,0,0,726,0,0,0,2,19,2,0,0,2,19,99,99,99,99,99,99,99,99,99,99,99,19,1,0,0,0,7
1856,3,2,1264,3170,8056,27487,177,18213,999999,9999999,999999,9999999,999999,9999999,2938,491,0,4876,10872,0,0,11739,0,11853,6360,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9,1,6,3,1,1025,0,0,250,775,775,250,0,0,0,250,0,0,775,0,775,250,0,0,0,250,0,0,775,0,0,0,0,1,73,1,0,0,1,73,99,99,99,99,99,99,99,99,99,99,99,99,0,1,0,0,8
1857,4,1,119,4301,4600,15696,999999,9999999,999999,9999999,999999,9999999,999999,9999999,0,0,0,2317,7029,2407,890,3053,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9,3,4,1,0,624,0,0,0,624,624,0,0,0,0,0,0,0,624,0,624,0,0,0,0,0,0,0,624,0,0,0,1,1,86,1,0,0,1,86,99,99,99,99,99,99,99,99,99,99,99,99,0,1,0,0,5
1858,0,5,5044,1110,16359,55816,999999,9999999,999999,9999999,999999,9999999,999999,9999999,7105,650,0,3157,6267,12480,10544,23368,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9,2,7,3,0,1159,0,0,0,1159,1159,0,0,0,0,0,0,0,1159,0,1159,0,0,0,0,0,0,0,1159,0,0,0,0,2,30,2,1,1,5,30,19,4,3,99,99,99,99,99,99,99,99,1,1,0,0,0,15
1859,0,2,3982,1507,19592,66848,567,58344,999999,9999999,999999,9999999,999999,9999999,5095,851,0,3870,19070,0,2540,41368,0,27798,30546,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9,1,10,3,1,4140,0,1380,400,2360,2360,1780,0,0,0,400,0,1380,2360,0,3740,1780,0,0,0,400,0,1380,2360,0,0,0,0,2,34,2,1,0,5,34,37,13,11,99,99,99,99,99,99,99,99,7,1,0,0,0,15
1860,0,5,6469,232,6360,21700,354,36427,999999,9999999,999999,9999999,999999,9999999,2957,494,0,2895,0,0,0,18805,0,16285,20142,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9,3,6,1,1,964,0,0,0,964,964,0,0,0,0,0,0,0,964,0,0,964,0,0,0,0,0,0,0,964,0,0,1,2,30,2,1,0,4,30,28,6,99,99,99,99,99,99,99,99,99,2,1,0,0,1,5
1861,4,2,1266,2301,7659,26133,999999,9999999,999999,9999999,999999,9999999,999999,9999999,2109,352,0,4673,6039,4183,1371,9867,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9,4,8,1,0,1456,0,0,400,1056,905,551,0,0,0,400,0,0,905,151,486,970,0,0,0,400,0,0,486,570,0,0,1,2,76,1,1,0,2,76,99,99,99,99,99,99,99,99,99,99,99,73,0,1,0,0,12
